playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,nextSeason
Vicente Iborra,/vicente-iborra/profil/spieler/65467,30,DM,Spain,1200000,10000000,Leicester City,/leicester-city/startseite/verein/1003,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2018,-8800000,35.0,1.9,right,ENG-Premier League,Leicester City,Vicente Iborra,ESP,MF,29.0,1988.0,19,17,1410,15.7,3,0,3,3,0,0,0,0,1.7,1.7,0.5,2.2,8.0,79.0,15.0,0.19,0.0,0.19,0.19,0.19,0.11,0.03,0.14,0.11,0.14,2018
Mikel Merino,/mikel-merino/profil/spieler/338424,22,CM,Spain,50000000,7000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Newcastle United,/newcastle-united/startseite/verein/762,in,2018,43000000,27.0,1.89,left,ENG-Premier League,Newcastle Utd,Mikel Merino,ESP,MF,21.0,1996.0,24,14,1347,15.0,1,1,2,1,0,0,4,0,0.6,0.6,0.9,1.5,25.0,108.0,15.0,0.07,0.07,0.13,0.07,0.13,0.04,0.06,0.1,0.04,0.1,2018
Mikel Merino,/mikel-merino/profil/spieler/338424,22,CM,Spain,50000000,12000000,Newcastle United,/newcastle-united/startseite/verein/762,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,out,2018,38000000,27.0,1.89,left,ENG-Premier League,Newcastle Utd,Mikel Merino,ESP,MF,21.0,1996.0,24,14,1347,15.0,1,1,2,1,0,0,4,0,0.6,0.6,0.9,1.5,25.0,108.0,15.0,0.07,0.07,0.13,0.07,0.13,0.04,0.06,0.1,0.04,0.1,2018
Federico Fernández,/federico-fernandez/profil/spieler/85475,29,CB,Argentina,700000,6700000,Swansea City,/swansea-city/startseite/verein/2288,Newcastle United,/newcastle-united/startseite/verein/762,in,2018,-6000000,34.0,1.9,right,ENG-Premier League,Swansea City,Federico Fernández,ARG,DF,28.0,1989.0,30,30,2676,29.7,1,1,2,1,0,0,5,0,0.7,0.7,0.7,1.4,5.0,72.0,8.0,0.03,0.03,0.07,0.03,0.07,0.02,0.02,0.05,0.02,0.05,2018
Fabian Schär,/fabian-schar/profil/spieler/135343,26,CB,Switzerland,10000000,4000000,Deportivo de La Coruña,/deportivo-la-coruna/startseite/verein/897,Newcastle United,/newcastle-united/startseite/verein/762,in,2018,6000000,31.0,1.86,right,ESP-La Liga,La Coruña,Fabian Schär,SUI,DF,25.0,1991.0,25,25,2219,24.7,2,2,4,2,0,0,10,0,3.0,3.0,0.6,3.6,18.0,45.0,5.0,0.08,0.08,0.16,0.08,0.16,0.12,0.02,0.15,0.12,0.15,2018
Martin Dúbravka,/martin-dubravka/profil/spieler/74960,29,GK,Slovakia,1500000,4000000,AC Sparta Prague,/ac-sparta-prag/startseite/verein/197,Newcastle United,/newcastle-united/startseite/verein/762,in,2018,-2500000,34.0,1.91,right,ENG-Premier League,Newcastle Utd,Martin Dúbravka,SVK,GK,28.0,1989.0,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Chancel Mbemba,/chancel-mbemba/profil/spieler/203348,23,CB,DR Congo,20000000,4660000,Newcastle United,/newcastle-united/startseite/verein/762,FC Porto,/fc-porto/startseite/verein/720,out,2018,15340000,28.0,1.82,right,ENG-Premier League,Newcastle Utd,Chancel Mbemba,COD,DF,22.0,1994.0,9,7,672,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,9.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,2018
Jefferson Lerma,/jefferson-lerma/profil/spieler/262980,23,DM,Colombia,20000000,30500000,Levante UD,/ud-levante/startseite/verein/3368,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,in,2018,-10500000,28.0,1.79,right,ESP-La Liga,Levante,Jefferson Lerma,COL,MF,22.0,1994.0,26,25,2135,23.7,0,1,1,0,0,0,16,0,1.2,1.2,1.5,2.7,19.0,106.0,28.0,0.0,0.04,0.04,0.0,0.04,0.05,0.06,0.11,0.05,0.11,2018
Dominic Solanke,/dominic-solanke/profil/spieler/258889,21,CF,England,20000000,21200000,Liverpool FC,/fc-liverpool/startseite/verein/31,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,in,2018,-1200000,25.0,1.86,right,ENG-Premier League,Liverpool,Dominic Solanke,ENG,FW,19.0,1997.0,21,5,596,6.6,1,1,2,1,0,0,0,0,3.5,3.5,2.6,6.1,15.0,15.0,48.0,0.15,0.15,0.3,0.15,0.3,0.53,0.4,0.92,0.53,0.92,2018
Diego Rico,/diego-rico/profil/spieler/249513,25,LB,Spain,3000000,15000000,CD Leganés,/cd-leganes/startseite/verein/1244,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,in,2018,-12000000,30.0,1.83,left,ESP-La Liga,Leganés,Diego Rico,ESP,DF,24.0,1993.0,26,26,2228,24.8,2,2,4,2,0,0,9,1,1.4,1.4,3.5,4.9,50.0,107.0,107.0,0.08,0.08,0.16,0.08,0.16,0.06,0.14,0.2,0.06,0.2,2018
