playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Federico Fernández,/federico-fernandez/profil/spieler/85475,29,CB,Argentina,700000,6700000,Swansea City,/swansea-city/startseite/verein/2288,Newcastle United,/newcastle-united/startseite/verein/762,in,2018,-6000000,34.0,1.9,right,ENG-Premier League,Swansea City,Federico Fernández,ARG,DF,28.0,1989.0,29.7,1001.0,1218.0,82.2,21296.0,9597.0,272.0,293.0,92.8,557.0,646.0,86.2,165.0,254.0,65.0,1,0.7,1.0,0.3,6.0,60.0,4.0,1.0,72.0,2018
Fabian Schär,/fabian-schar/profil/spieler/135343,26,CB,Switzerland,10000000,4000000,Deportivo de La Coruña,/deportivo-la-coruna/startseite/verein/897,Newcastle United,/newcastle-united/startseite/verein/762,in,2018,6000000,31.0,1.86,right,ESP-La Liga,La Coruña,Fabian Schär,SUI,DF,25.0,1991.0,24.7,758.0,957.0,79.2,17100.0,7069.0,233.0,260.0,89.6,353.0,400.0,88.3,166.0,272.0,61.0,2,0.6,0.8,1.4,7.0,53.0,3.0,0.0,45.0,2018
Martin Dúbravka,/martin-dubravka/profil/spieler/74960,29,GK,Slovakia,1500000,4000000,AC Sparta Prague,/ac-sparta-prag/startseite/verein/197,Newcastle United,/newcastle-united/startseite/verein/762,in,2018,-2500000,34.0,1.91,right,ENG-Premier League,Newcastle Utd,Martin Dúbravka,SVK,GK,28.0,1989.0,12.0,203.0,348.0,58.3,6648.0,5297.0,24.0,24.0,100.0,93.0,94.0,98.9,86.0,230.0,37.4,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2018
Chancel Mbemba,/chancel-mbemba/profil/spieler/203348,23,CB,DR Congo,20000000,4660000,Newcastle United,/newcastle-united/startseite/verein/762,FC Porto,/fc-porto/startseite/verein/720,out,2018,15340000,28.0,1.82,right,ENG-Premier League,Newcastle Utd,Chancel Mbemba,COD,DF,22.0,1994.0,7.5,202.0,276.0,73.2,3454.0,1490.0,102.0,120.0,85.0,81.0,107.0,75.7,18.0,39.0,46.2,0,0.5,0.5,-0.5,4.0,11.0,6.0,4.0,21.0,2018
Jefferson Lerma,/jefferson-lerma/profil/spieler/262980,23,DM,Colombia,20000000,30500000,Levante UD,/ud-levante/startseite/verein/3368,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,in,2018,-10500000,28.0,1.79,right,ESP-La Liga,Levante,Jefferson Lerma,COL,MF,22.0,1994.0,23.7,894.0,1103.0,81.1,15424.0,4362.0,393.0,463.0,84.9,391.0,452.0,86.5,86.0,129.0,66.7,1,1.5,0.7,-0.5,19.0,92.0,8.0,1.0,106.0,2018
Dominic Solanke,/dominic-solanke/profil/spieler/258889,21,CF,England,20000000,21200000,Liverpool FC,/fc-liverpool/startseite/verein/31,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,in,2018,-1200000,25.0,1.86,right,ENG-Premier League,Liverpool,Dominic Solanke,ENG,FW,19.0,1997.0,6.6,148.0,201.0,73.6,1656.0,386.0,109.0,133.0,82.0,25.0,36.0,69.4,2.0,4.0,50.0,1,2.6,1.2,-1.6,15.0,8.0,6.0,0.0,15.0,2018
Diego Rico,/diego-rico/profil/spieler/249513,25,LB,Spain,3000000,15000000,CD Leganés,/cd-leganes/startseite/verein/1244,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,in,2018,-12000000,30.0,1.83,left,ESP-La Liga,Leganés,Diego Rico,ESP,DF,24.0,1993.0,24.8,892.0,1329.0,67.1,15813.0,8615.0,442.0,531.0,83.2,336.0,482.0,69.7,101.0,230.0,43.9,2,3.5,3.1,-1.5,27.0,83.0,28.0,14.0,107.0,2018
Max Gradel,/max-gradel/profil/spieler/28140,30,LW,Cote d'Ivoire,1600000,2000000,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,FC Toulouse,/fc-toulouse/startseite/verein/415,out,2018,-400000,35.0,1.75,right,FRA-Ligue 1,Toulouse,Max Gradel,CIV,"FW,MF",29.0,1987.0,26.8,566.0,1016.0,55.7,9850.0,3749.0,278.0,377.0,73.7,185.0,319.0,58.0,78.0,206.0,37.9,1,4.5,5.6,-3.5,44.0,48.0,37.0,17.0,96.0,2018
Felipe Anderson,/felipe-anderson/profil/spieler/159372,25,RW,Brazil,15000000,38000000,SS Lazio,/lazio-rom/startseite/verein/398,West Ham United,/west-ham-united/startseite/verein/379,in,2018,-23000000,30.0,1.75,right,ITA-Serie A,Lazio,Felipe Anderson,BRA,"FW,MF",24.0,1993.0,12.9,512.0,711.0,72.0,8036.0,2628.0,258.0,310.0,83.2,179.0,234.0,76.5,42.0,89.0,47.2,6,4.3,3.5,1.7,38.0,45.0,35.0,5.0,83.0,2018
Issa Diop,/issa-diop/profil/spieler/272622,21,CB,France,18000000,25000000,FC Toulouse,/fc-toulouse/startseite/verein/415,West Ham United,/west-ham-united/startseite/verein/379,in,2018,-7000000,26.0,1.94,right,FRA-Ligue 1,Toulouse,Issa Diop,FRA,DF,20.0,1997.0,34.0,989.0,1247.0,79.3,20054.0,8739.0,325.0,371.0,87.6,517.0,598.0,86.5,136.0,248.0,54.8,0,0.6,0.8,-0.6,5.0,91.0,4.0,2.0,106.0,2018
