playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation
Marc Wilmots,/marc-wilmots/profil/spieler/286,32,AM,Belgium,0,2000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,FC Schalke 04,/fc-schalke-04/startseite/verein/33,out,2001,-2000000
Alexandre Jeannin,/alexandre-jeannin/profil/spieler/47904,24,LB,France,0,65000,ESTAC Troyes,/es-troyes-ac/startseite/verein/1095,Darlington FC (- 2012),/fc-darlington-aufgel-/startseite/verein/1089,out,2001,-65000
Camel Meriem,/camel-meriem/profil/spieler/5376,22,AM,France,0,7000000,FC Sochaux-Montbéliard,/fc-sochaux-montbeliard/startseite/verein/750,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,out,2001,-7000000
Daniel Van Buyten,/daniel-van-buyten/profil/spieler/4740,23,CB,Belgium,0,11500000,Standard Liège,/standard-luttich/startseite/verein/3057,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2001,-11500000
Delfim,/delfim/profil/spieler/5322,24,DM,Portugal,0,5000000,Sporting CP,/sporting-lissabon/startseite/verein/336,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2001,-5000000
Brahim Hemdani,/brahim-hemdani/profil/spieler/5324,23,DM,Algeria,0,4000000,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2001,-4000000
Pascal Nouma,/pascal-nouma/profil/spieler/5333,29,CF,France,0,2500000,Besiktas JK,/besiktas-istanbul/startseite/verein/114,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2001,-2500000
Frank Leboeuf,/frank-leboeuf/profil/spieler/5314,33,CB,France,0,1800000,Chelsea FC,/fc-chelsea/startseite/verein/631,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2001,-1800000
Lamine Sakho,/lamine-sakho/profil/spieler/8318,24,LW,Senegal,0,1500000,RC Lens,/rc-lens/startseite/verein/826,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2001,-1500000
William Gallas,/william-gallas/profil/spieler/3156,23,CB,France,0,9300000,Olympique Marseille,/olympique-marseille/startseite/verein/244,Chelsea FC,/fc-chelsea/startseite/verein/631,out,2001,-9300000
Bruno N'Gotty,/bruno-ngotty/profil/spieler/3964,30,CB,France,0,750000,Olympique Marseille,/olympique-marseille/startseite/verein/244,Bolton Wanderers,/bolton-wanderers/startseite/verein/355,out,2001,-750000
Mario Yepes,/mario-yepes/profil/spieler/5507,25,CB,Colombia,0,3800000,CA River Plate,/club-atletico-river-plate/startseite/verein/209,FC Nantes,/fc-nantes/startseite/verein/995,in,2001,-3800000
Éric Carrière,/eric-carriere/profil/spieler/5349,28,AM,France,0,12000000,FC Nantes,/fc-nantes/startseite/verein/995,Olympique Lyon,/olympique-lyon/startseite/verein/1041,out,2001,-12000000
Bernard Lambourde,/bernard-lambourde/profil/spieler/5580,30,CB,France,0,370000,Chelsea FC,/fc-chelsea/startseite/verein/631,SC Bastia,/sc-bastia/startseite/verein/595,in,2001,-370000
Frédéric Née,/frederic-nee/profil/spieler/5359,26,CF,France,0,7500000,SC Bastia,/sc-bastia/startseite/verein/595,Olympique Lyon,/olympique-lyon/startseite/verein/1041,out,2001,-7500000
Yann Lachuer,/yann-lachuer/profil/spieler/5429,28,AM,France,0,2000000,SC Bastia,/sc-bastia/startseite/verein/595,AJ Auxerre,/aj-auxerre/startseite/verein/290,out,2001,-2000000
Mario Turdó,/mario-turdo/profil/spieler/5684,22,CF,Argentina,0,10820000,Celta de Vigo,/celta-vigo/startseite/verein/940,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2001,-10820000
Olivier Monterrubio,/olivier-monterrubio/profil/spieler/5681,24,LW,France,0,3000000,FC Nantes,/fc-nantes/startseite/verein/995,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2001,-3000000
El-Hadji Diouf,/el-hadji-diouf/profil/spieler/3604,20,CF,Senegal,0,5340000,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,RC Lens,/rc-lens/startseite/verein/826,out,2001,-5340000
Fabrice Fernandes,/fabrice-fernandes/profil/spieler/4116,22,LW,France,0,1650000,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,Southampton FC,/fc-southampton/startseite/verein/180,out,2001,-1650000
Toifilou Maoulida,/toifilou-maoulida/profil/spieler/5680,22,CF,France,0,3800000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,out,2001,-3800000
Olivier Sorlin,/olivier-sorlin/profil/spieler/5676,22,DM,France,0,3000000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,out,2001,-3000000
Lucas Bernardi,/lucas-bernardi/profil/spieler/5294,23,CM,Argentina,0,9000000,Olympique Marseille,/olympique-marseille/startseite/verein/244,AS Monaco,/as-monaco/startseite/verein/162,in,2001,-9000000
Flavio Roma,/flavio-roma/profil/spieler/5281,27,GK,Italy,0,8500000,Piacenza FC,/piacenza-calcio-1919/startseite/verein/1408,AS Monaco,/as-monaco/startseite/verein/162,in,2001,-8500000
Christian Panucci,/christian-panucci/profil/spieler/5940,28,RB,Italy,0,6710000,FC Internazionale,/inter-mailand/startseite/verein/46,AS Monaco,/as-monaco/startseite/verein/162,in,2001,-6710000
Jérôme Rothen,/jerome-rothen/profil/spieler/5300,23,LM,France,0,4500000,ESTAC Troyes,/es-troyes-ac/startseite/verein/1095,AS Monaco,/as-monaco/startseite/verein/162,in,2001,-4500000
Philippe Christanval,/philippe-christanval/profil/spieler/6741,22,CB,France,0,17000000,AS Monaco,/as-monaco/startseite/verein/162,FC Barcelona,/fc-barcelona/startseite/verein/131,out,2001,-17000000
Martin Djetou,/martin-djetou/profil/spieler/3725,26,CB,France,0,9750000,AS Monaco,/as-monaco/startseite/verein/162,AC Parma,/parma-calcio-1913/startseite/verein/130,out,2001,-9750000
John Arne Riise,/john-arne-riise/profil/spieler/3220,20,LB,Norway,0,6360000,AS Monaco,/as-monaco/startseite/verein/162,Liverpool FC,/fc-liverpool/startseite/verein/31,out,2001,-6360000
Pablo Contreras,/pablo-contreras/profil/spieler/14520,22,CB,Chile,0,4200000,AS Monaco,/as-monaco/startseite/verein/162,Celta de Vigo,/celta-vigo/startseite/verein/940,out,2001,-4200000
Didier Drogba,/didier-drogba/profil/spieler/3924,23,CF,Cote d'Ivoire,0,100000,Le Mans Union Club 72,/le-mans-fc/startseite/verein/1164,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2001,-100000
Jacques Songo'o,/jacques-songoo/profil/spieler/102615,37,GK,Cameroon,0,6500000,Deportivo de La Coruña,/deportivo-la-coruna/startseite/verein/897,FC Metz,/fc-metz/startseite/verein/347,in,2001,-6500000
Pape Malick Diop,/pape-malick-diop/profil/spieler/23915,27,CB,Senegal,0,700000,Neuchâtel Xamax,/neuchatel-xamax/startseite/verein/625,FC Lorient,/fc-lorient/startseite/verein/1158,in,2001,-700000
Ulrich Le Pen,/ulrich-le-pen/profil/spieler/13244,27,LM,France,0,1950000,FC Lorient,/fc-lorient/startseite/verein/1158,Ipswich Town,/ipswich-town/startseite/verein/677,out,2001,-1950000
Mahamadou Diarra,/mahamadou-diarra/profil/spieler/5352,21,DM,Mali,0,3900000,Vitesse Arnhem,/vitesse-arnheim/startseite/verein/499,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2002,-3900000
Mazhar Abdelrahman,/mazhar-abdelrahman/profil/spieler/12092,25,CF,Egypt,0,2000000,El Masry SC,/el-masry-sc/startseite/verein/9094,AS Monaco,/as-monaco/startseite/verein/162,in,2002,-2000000
Christian Panucci,/christian-panucci/profil/spieler/5940,29,RB,Italy,0,9810000,AS Monaco,/as-monaco/startseite/verein/162,AS Roma,/as-rom/startseite/verein/12,out,2002,-9810000
Dmitriy Sychev,/dmitriy-sychev/profil/spieler/3989,19,CF,Russia,0,3000000,Spartak Moscow,/spartak-moskau/startseite/verein/232,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2002,-3000000
Jovan Stankovic,/jovan-stankovic/profil/spieler/14213,30,LM,Serbia,0,4800000,Olympique Marseille,/olympique-marseille/startseite/verein/244,Atlético de Madrid,/atletico-madrid/startseite/verein/13,out,2002,-4800000
