playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,nextSeason
Andriy Yarmolenko,/andriy-yarmolenko/profil/spieler/69015,27,RW,Ukraine,2000000,25000000,Dynamo Kyiv,/dynamo-kiew/startseite/verein/338,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,in,2017,-23000000,33.0,1.89,left,GER-Bundesliga,Dortmund,UKR,"FW,MF",27.0,1989.0,11.5,578.0,8.0,48.0,247.0,289.0,66.0,578.0,44.0,16.0,36.4,28.0,63.6,371.0,2712.0,1341.0,40.0,25.0,20.0,19.0,19.0,462.0,114.0,2018
Manuel Akanji,/manuel-akanji/profil/spieler/284730,22,CB,Switzerland,38000000,21500000,FC Basel 1893,/fc-basel-1893/startseite/verein/26,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,in,2017,16500000,27.0,1.88,right,GER-Bundesliga,Dortmund,SUI,DF,22.0,1995.0,10.0,714.0,43.0,277.0,385.0,55.0,9.0,714.0,4.0,4.0,100.0,0.0,0.0,389.0,2666.0,1639.0,15.0,13.0,2.0,6.0,4.0,474.0,7.0,2018
Jadon Sancho,/jadon-sancho/profil/spieler/401173,17,LW,England,45000000,20590000,Manchester City U18,/manchester-city-u18/startseite/verein/6930,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,in,2017,24410000,23.0,1.8,right,GER-Bundesliga,Dortmund,ENG,FW,17.0,2000.0,7.7,458.0,3.0,38.0,172.0,256.0,51.0,458.0,45.0,17.0,37.8,28.0,62.2,309.0,2407.0,1204.0,40.0,19.0,24.0,16.0,11.0,361.0,94.0,2018
Sergio Gómez,/sergio-gomez/profil/spieler/366930,17,LB,Spain,13000000,3000000,FC Barcelona U19,/fc-barcelona-u19/startseite/verein/2470,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,in,2017,10000000,22.0,1.71,left,GER-Bundesliga,Dortmund,ESP,MF,16.0,2000.0,0.1,7.0,0.0,0.0,6.0,1.0,0.0,7.0,0.0,0.0,,0.0,,3.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2018
Ousmane Dembélé,/ousmane-dembele/profil/spieler/288230,20,RW,France,60000000,135000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,FC Barcelona,/fc-barcelona/startseite/verein/131,out,2017,-75000000,26.0,1.78,both,ESP-La Liga,Barcelona,FRA,"FW,MF",20.0,1997.0,10.3,633.0,1.0,32.0,222.0,386.0,48.0,633.0,68.0,40.0,58.8,28.0,41.2,475.0,3315.0,1797.0,68.0,58.0,20.0,29.0,39.0,533.0,131.0,2018
Pierre-Emerick Aubameyang,/pierre-emerick-aubameyang/profil/spieler/58864,28,CF,Gabon,4000000,63750000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2017,-59750000,34.0,1.86,right,ENG-Premier League,Arsenal,GAB,FW,28.0,1989.0,11.7,420.0,10.0,42.0,179.0,206.0,62.0,418.0,14.0,11.0,78.6,3.0,21.4,264.0,1571.0,836.0,31.0,17.0,12.0,12.0,12.0,314.0,85.0,2018
Pierre-Emerick Aubameyang,/pierre-emerick-aubameyang/profil/spieler/58864,28,CF,Gabon,4000000,63750000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2017,-59750000,34.0,1.86,right,GER-Bundesliga,Dortmund,GAB,FW,28.0,1989.0,15.7,478.0,2.0,9.0,203.0,271.0,95.0,474.0,26.0,5.0,19.2,21.0,80.8,240.0,1284.0,482.0,30.0,14.0,25.0,26.0,13.0,363.0,112.0,2018
Emre Mor,/emre-mor/profil/spieler/283223,20,RW,Turkey,4200000,13000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Celta de Vigo,/celta-vigo/startseite/verein/940,out,2017,-8800000,25.0,1.69,left,ESP-La Liga,Celta Vigo,TUR,"FW,MF",20.0,1997.0,7.4,413.0,6.0,52.0,162.0,217.0,30.0,413.0,68.0,44.0,64.7,24.0,35.3,293.0,2700.0,1368.0,52.0,44.0,14.0,18.0,18.0,314.0,68.0,2018
Marc Bartra,/marc-bartra/profil/spieler/99922,27,CB,Spain,3700000,10500000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,out,2017,-6800000,32.0,1.84,right,ESP-La Liga,Betis,ESP,DF,26.0,1991.0,15.8,1316.0,139.0,614.0,677.0,38.0,11.0,1316.0,24.0,22.0,91.7,2.0,8.3,864.0,4697.0,3054.0,16.0,16.0,2.0,14.0,7.0,868.0,4.0,2018
Marc Bartra,/marc-bartra/profil/spieler/99922,27,CB,Spain,3700000,10500000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,out,2017,-6800000,32.0,1.84,right,GER-Bundesliga,Dortmund,ESP,DF,26.0,1991.0,9.0,832.0,40.0,278.0,497.0,63.0,11.0,832.0,10.0,5.0,50.0,5.0,50.0,392.0,2332.0,1522.0,14.0,13.0,2.0,7.0,5.0,506.0,7.0,2018
