playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
Carlos Salcedo,/carlos-salcedo/profil/spieler/256866,25,CB,Mexico,4000000,8800000,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,Tigres UANL,/tigres-uanl/startseite/verein/7055,out,2018,-4800000,29.0,1.85,right,GER-Bundesliga,Eint Frankfurt,Carlos Salcedo,MEX,DF,23.0,1993.0,17.9,8.0,0.45,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,2018
Almamy Touré,/almamy-toure/profil/spieler/216181,22,CB,Mali,2500000,750000,AS Monaco,/as-monaco/startseite/verein/162,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,in,2018,1750000,27.0,1.83,right,FRA-Ligue 1,Monaco,Almamy Touré,MLI,DF,21.0,1996.0,13.9,32.0,2.31,27.0,2.0,3.0,0.0,0.0,0.0,9.0,0.65,7.0,0.0,2.0,0.0,0.0,0.0,2018
Marius Wolf,/marius-wolf/profil/spieler/193900,23,RB,Germany,10000000,5000000,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2018,5000000,28.0,1.87,right,GER-Bundesliga,Eint Frankfurt,Marius Wolf,GER,"MF,FW",22.0,1995.0,26.3,70.0,2.66,50.0,14.0,2.0,2.0,1.0,1.0,13.0,0.49,12.0,1.0,0.0,0.0,0.0,0.0,2018
Marius Wolf,/marius-wolf/profil/spieler/193900,23,RB,Germany,10000000,500000,Hannover 96,/hannover-96/startseite/verein/42,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,out,2018,9500000,28.0,1.87,right,GER-Bundesliga,Eint Frankfurt,Marius Wolf,GER,"MF,FW",22.0,1995.0,26.3,70.0,2.66,50.0,14.0,2.0,2.0,1.0,1.0,13.0,0.49,12.0,1.0,0.0,0.0,0.0,0.0,2018
Jannik Vestergaard,/jannik-vestergaard/profil/spieler/99331,25,CB,Denmark,4000000,25000000,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,Southampton FC,/fc-southampton/startseite/verein/180,out,2018,-21000000,30.0,1.99,both,GER-Bundesliga,M'Gladbach,Jannik Vestergaard,DEN,DF,24.0,1992.0,32.0,17.0,0.53,16.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,2018
Vincenzo Grifo,/vincenzo-grifo/profil/spieler/185077,25,LW,Italy,12000000,5500000,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,out,2018,6500000,30.0,1.8,right,GER-Bundesliga,M'Gladbach,Vincenzo Grifo,ITA,"MF,FW",24.0,1993.0,8.7,35.0,4.01,25.0,3.0,3.0,3.0,1.0,0.0,5.0,0.57,3.0,0.0,1.0,0.0,1.0,0.0,2018
Raúl Bobadilla,/raul-bobadilla/profil/spieler/51356,31,CF,Paraguay,200000,1800000,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,AA Argentinos Juniors,/argentinos-juniors/startseite/verein/1030,out,2018,-1600000,36.0,1.8,right,GER-Bundesliga,M'Gladbach,Raúl Bobadilla,PAR,"FW,MF",30.0,1987.0,5.0,12.0,2.41,8.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Valentino Lazaro,/valentino-lazaro/profil/spieler/186368,22,RB,Austria,5000000,10500000,Red Bull Salzburg,/red-bull-salzburg/startseite/verein/409,Hertha BSC,/hertha-bsc/startseite/verein/44,in,2018,-5500000,27.0,1.8,right,GER-Bundesliga,Hertha BSC,Valentino Lazaro,AUT,"MF,FW",21.0,1996.0,20.7,55.0,2.66,39.0,9.0,3.0,1.0,2.0,1.0,9.0,0.43,6.0,2.0,1.0,0.0,0.0,0.0,2018
Lukas Klünter,/lukas-klunter/profil/spieler/282577,22,RB,Germany,600000,2000000,1.FC Köln,/1-fc-koln/startseite/verein/3,Hertha BSC,/hertha-bsc/startseite/verein/44,in,2018,-1400000,27.0,1.84,right,GER-Bundesliga,Köln,Lukas Klünter,GER,"DF,FW",21.0,1996.0,14.8,30.0,2.02,22.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Mitchell Weiser,/mitchell-weiser/profil/spieler/119211,24,RB,Germany,6000000,12000000,Hertha BSC,/hertha-bsc/startseite/verein/44,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,out,2018,-6000000,29.0,1.77,right,GER-Bundesliga,Hertha BSC,Mitchell Weiser,GER,"DF,FW",23.0,1994.0,22.0,73.0,3.32,44.0,20.0,2.0,0.0,6.0,1.0,7.0,0.32,2.0,2.0,0.0,0.0,3.0,0.0,2018
Davy Klaassen,/davy-klaassen/profil/spieler/182932,25,AM,Netherlands,10000000,13500000,Everton FC,/fc-everton/startseite/verein/29,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86,in,2018,-3500000,30.0,1.79,right,ENG-Premier League,Everton,Davy Klaassen,NED,"MF,FW",24.0,1993.0,2.8,4.0,1.43,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Yuya Osako,/yuya-osako/profil/spieler/108650,28,CF,Japan,900000,4500000,1.FC Köln,/1-fc-koln/startseite/verein/3,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86,in,2018,-3600000,33.0,1.84,right,GER-Bundesliga,Köln,Yuya Osako,JPN,"FW,MF",27.0,1990.0,21.1,60.0,2.85,53.0,0.0,1.0,1.0,5.0,0.0,7.0,0.33,6.0,0.0,1.0,0.0,0.0,0.0,2018
