playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,nextSeason
Georginio Rutter,/georginio-rutter/profil/spieler/538977,20,CF,France,18000000,28000000,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,Leeds United,/leeds-united/startseite/verein/399,out,2022,-10000000,21.0,1.82,left,GER-Bundesliga,Hoffenheim,FRA,FW,20.0,2002.0,15,1009.0,67.0,33.0,11.2,11,83.0,4.0,4,25.0,0,1.2,17.0,15.0,2.0,0.18,0.66,16.4,16.1,0.3,0.03,0.18,2023
David Raum,/david-raum/profil/spieler/318204,24,LB,Germany,14000000,26000000,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,out,2022,-12000000,25.0,1.8,left,GER-Bundesliga,RB Leipzig,GER,"DF,MF",24.0,1998.0,28,1685.0,60.0,55.1,18.7,19,81.0,9.0,9,17.0,5,1.89,37.0,21.0,16.0,0.85,0.4,33.9,20.9,13.0,0.69,-0.12,2023
Sargis Adamyan,/sargis-adamyan/profil/spieler/125614,29,CF,Armenia,1000000,1500000,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,1.FC Köln,/1-fc-koln/startseite/verein/3,out,2022,-500000,30.0,1.84,right,GER-Bundesliga,Köln,ARM,"FW,MF",29.0,1993.0,24,644.0,27.0,21.0,7.2,4,62.0,0.0,20,20.0,4,1.13,11.0,16.0,-5.0,-0.7,-0.7,11.2,11.7,-0.5,-0.06,-0.28,2023
Jonas Omlin,/jonas-omlin/profil/spieler/247915,29,GK,Switzerland,9000000,9000000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,in,2022,0,29.0,1.9,right,FRA-Ligue 1,Montpellier,SUI,GK,28.0,1994.0,14,1166.0,83.0,34.1,13.0,14,83.0,12.0,0,,0,1.14,21.0,26.0,-5.0,-0.39,-0.71,15.8,19.9,-4.1,-0.32,-0.08,2023
Jonas Omlin,/jonas-omlin/profil/spieler/247915,29,GK,Switzerland,9000000,9000000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,in,2022,0,29.0,1.9,right,GER-Bundesliga,M'Gladbach,SUI,GK,28.0,1994.0,15,1290.0,86.0,42.2,14.3,15,86.0,14.0,0,,0,1.27,20.0,18.0,2.0,0.14,0.39,21.5,21.1,0.4,0.03,0.11,2023
Ko Itakura,/ko-itakura/profil/spieler/355816,25,CB,Japan,12000000,5000000,Manchester City,/manchester-city/startseite/verein/281,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,in,2022,7000000,26.0,1.88,right,GER-Bundesliga,M'Gladbach,JPN,DF,25.0,1997.0,24,1981.0,83.0,64.7,22.0,22,88.0,20.0,2,24.0,0,1.21,29.0,30.0,-1.0,-0.05,0.12,33.8,32.9,0.9,0.04,0.22,2023
Oscar Fraulo,/oscar-fraulo/profil/spieler/610428,18,CM,Denmark,2000000,2000000,FC Midtjylland,/fc-midtjylland/startseite/verein/865,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,in,2022,0,19.0,1.8,right,GER-Bundesliga,M'Gladbach,DEN,"FW,MF",18.0,2003.0,2,8.0,4.0,0.3,0.1,0,,0.0,2,4.0,13,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.2,-0.1,-0.89,-0.85,2023
Breel Embolo,/breel-embolo/profil/spieler/237662,25,CF,Switzerland,20000000,12500000,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,AS Monaco,/as-monaco/startseite/verein/162,out,2022,7500000,26.0,1.87,right,FRA-Ligue 1,Monaco,SUI,FW,25.0,1997.0,32,1859.0,58.0,54.4,20.7,19,80.0,11.0,13,26.0,0,1.72,39.0,32.0,7.0,0.34,0.05,33.0,29.7,3.3,0.16,-0.16,2023
Yann Sommer,/yann-sommer/profil/spieler/42205,34,GK,Switzerland,5000000,9000000,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,out,2022,-4000000,34.0,1.83,right,GER-Bundesliga,Bayern Munich,SUI,GK,33.0,1988.0,19,1710.0,90.0,55.9,19.0,19,90.0,19.0,0,,0,1.95,43.0,25.0,18.0,0.95,-1.45,39.7,22.4,17.3,0.91,-0.46,2023
Yann Sommer,/yann-sommer/profil/spieler/42205,34,GK,Switzerland,5000000,9000000,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,out,2022,-4000000,34.0,1.83,right,GER-Bundesliga,M'Gladbach,SUI,GK,33.0,1988.0,10,900.0,90.0,29.4,10.0,10,90.0,10.0,0,,0,1.6,18.0,14.0,4.0,0.4,0.69,17.5,12.8,4.7,0.47,0.72,2023
Lucas Alario,/lucas-alario/profil/spieler/193782,29,CF,Argentina,2500000,6000000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,in,2022,-3500000,30.0,1.85,right,GER-Bundesliga,Eint Frankfurt,ARG,"FW,MF",29.0,1992.0,20,331.0,17.0,10.8,3.7,2,78.0,1.0,18,10.0,9,1.25,5.0,9.0,-4.0,-1.09,-1.42,6.1,3.5,2.6,0.69,0.49,2023
Paxten Aaronson,/paxten-aaronson/profil/spieler/795738,19,AM,United States,4500000,4000000,Philadelphia Union,/philadelphia-union/startseite/verein/25467,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,in,2022,500000,19.0,1.75,right,GER-Bundesliga,Eint Frankfurt,USA,"MF,DF",18.0,2003.0,7,173.0,25.0,5.7,1.9,0,,0.0,7,25.0,6,1.14,4.0,0.0,4.0,2.08,2.02,5.4,1.4,4.0,2.06,1.92,2023
Mario Götze,/mario-gotze/profil/spieler/74842,30,AM,Germany,12000000,3000000,PSV Eindhoven,/psv-eindhoven/startseite/verein/383,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,in,2022,9000000,31.0,1.76,right,GER-Bundesliga,Eint Frankfurt,GER,MF,30.0,1992.0,32,2740.0,86.0,89.5,30.4,32,86.0,22.0,0,,0,1.53,55.0,43.0,12.0,0.39,2.08,47.8,36.7,11.0,0.36,1.04,2023
Dominik Kohr,/dominik-kohr/profil/spieler/118847,28,CM,Germany,3500000,1500000,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,out,2022,2000000,29.0,1.83,right,GER-Bundesliga,Mainz 05,GER,MF,28.0,1994.0,30,2292.0,76.0,74.9,25.5,27,83.0,21.0,3,18.0,1,1.43,39.0,38.0,1.0,0.04,0.27,34.8,39.1,-4.3,-0.17,0.09,2023
Ajdin Hrustic,/ajdin-hrustic/profil/spieler/265625,26,AM,Australia,1500000,500000,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,Hellas Verona,/hellas-verona/startseite/verein/276,out,2022,1000000,26.0,1.8,left,ITA-Serie A,Hellas Verona,AUS,MF,26.0,1996.0,6,226.0,38.0,6.6,2.5,3,61.0,0.0,3,15.0,5,0.17,2.0,5.0,-3.0,-1.19,-0.49,2.6,4.3,-1.8,-0.7,-0.35,2023
Mattias Svanberg,/mattias-svanberg/profil/spieler/342405,23,CM,Sweden,18000000,9000000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82,in,2022,9000000,24.0,1.85,right,GER-Bundesliga,Wolfsburg,SWE,"MF,FW",23.0,1999.0,32,1835.0,57.0,60.0,20.4,21,74.0,7.0,11,26.0,1,1.41,35.0,35.0,0.0,0.0,-0.66,32.2,29.9,2.2,0.11,0.27,2023
Patrick Wimmer,/patrick-wimmer/profil/spieler/533295,21,RW,Austria,18000000,5000000,Arminia Bielefeld,/arminia-bielefeld/startseite/verein/10,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82,in,2022,13000000,22.0,1.82,,GER-Bundesliga,Wolfsburg,AUT,"FW,MF",21.0,2001.0,26,1648.0,63.0,53.9,18.3,23,69.0,1.0,3,21.0,0,1.58,34.0,26.0,8.0,0.44,0.37,28.6,25.1,3.4,0.19,0.4,2023
