playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Almamy Touré,/almamy-toure/profil/spieler/216181,22,CB,Mali,2500000,750000,AS Monaco,/as-monaco/startseite/verein/162,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,in,2018,1750000,27.0,1.83,right,FRA-Ligue 1,Monaco,Almamy Touré,MLI,DF,21.0,1996.0,13.9,464.0,657.0,70.6,7362.0,3894.0,243.0,296.0,82.1,180.0,250.0,72.0,31.0,69.0,44.9,5,2.6,1.7,2.4,17.0,40.0,12.0,8.0,62.0,2018
Marius Wolf,/marius-wolf/profil/spieler/193900,23,RB,Germany,10000000,5000000,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2018,5000000,28.0,1.87,right,GER-Bundesliga,Eint Frankfurt,Marius Wolf,GER,"MF,FW",22.0,1995.0,26.3,675.0,1011.0,66.8,12037.0,5116.0,299.0,380.0,78.7,277.0,376.0,73.7,73.0,159.0,45.9,8,5.4,4.7,2.6,34.0,72.0,28.0,11.0,92.0,2018
Marius Wolf,/marius-wolf/profil/spieler/193900,23,RB,Germany,10000000,500000,Hannover 96,/hannover-96/startseite/verein/42,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,out,2018,9500000,28.0,1.87,right,GER-Bundesliga,Eint Frankfurt,Marius Wolf,GER,"MF,FW",22.0,1995.0,26.3,675.0,1011.0,66.8,12037.0,5116.0,299.0,380.0,78.7,277.0,376.0,73.7,73.0,159.0,45.9,8,5.4,4.7,2.6,34.0,72.0,28.0,11.0,92.0,2018
Jannik Vestergaard,/jannik-vestergaard/profil/spieler/99331,25,CB,Denmark,4000000,25000000,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,Southampton FC,/fc-southampton/startseite/verein/180,out,2018,-21000000,30.0,1.99,both,GER-Bundesliga,M'Gladbach,Jannik Vestergaard,DEN,DF,24.0,1992.0,32.0,1634.0,1922.0,85.0,36494.0,13228.0,379.0,424.0,89.4,968.0,1061.0,91.2,280.0,411.0,68.1,0,0.9,0.9,-0.9,4.0,122.0,7.0,0.0,114.0,2018
Vincenzo Grifo,/vincenzo-grifo/profil/spieler/185077,25,LW,Italy,12000000,5500000,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,out,2018,6500000,30.0,1.8,right,GER-Bundesliga,M'Gladbach,Vincenzo Grifo,ITA,"MF,FW",24.0,1993.0,8.7,312.0,435.0,71.7,5243.0,1864.0,162.0,187.0,86.6,109.0,144.0,75.7,34.0,76.0,44.7,3,2.4,2.0,0.6,20.0,23.0,18.0,3.0,44.0,2018
Raúl Bobadilla,/raul-bobadilla/profil/spieler/51356,31,CF,Paraguay,200000,1800000,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,AA Argentinos Juniors,/argentinos-juniors/startseite/verein/1030,out,2018,-1600000,36.0,1.8,right,GER-Bundesliga,M'Gladbach,Raúl Bobadilla,PAR,"FW,MF",30.0,1987.0,5.0,90.0,123.0,73.2,1105.0,167.0,58.0,72.0,80.6,20.0,24.0,83.3,3.0,6.0,50.0,0,0.4,0.7,-0.4,6.0,4.0,4.0,2.0,6.0,2018
Valentino Lazaro,/valentino-lazaro/profil/spieler/186368,22,RB,Austria,5000000,10500000,Red Bull Salzburg,/red-bull-salzburg/startseite/verein/409,Hertha BSC,/hertha-bsc/startseite/verein/44,in,2018,-5500000,27.0,1.8,right,GER-Bundesliga,Hertha BSC,Valentino Lazaro,AUT,"MF,FW",21.0,1996.0,20.7,477.0,694.0,68.7,7422.0,2238.0,251.0,306.0,82.0,164.0,219.0,74.9,38.0,108.0,35.2,5,3.9,3.0,1.1,29.0,38.0,22.0,11.0,59.0,2018
Lukas Klünter,/lukas-klunter/profil/spieler/282577,22,RB,Germany,600000,2000000,1.FC Köln,/1-fc-koln/startseite/verein/3,Hertha BSC,/hertha-bsc/startseite/verein/44,in,2018,-1400000,27.0,1.84,right,GER-Bundesliga,Köln,Lukas Klünter,GER,"DF,FW",21.0,1996.0,14.8,347.0,526.0,66.0,5866.0,2312.0,165.0,208.0,79.3,145.0,204.0,71.1,31.0,71.0,43.7,0,1.2,1.1,-1.2,13.0,20.0,12.0,7.0,41.0,2018
Mitchell Weiser,/mitchell-weiser/profil/spieler/119211,24,RB,Germany,6000000,12000000,Hertha BSC,/hertha-bsc/startseite/verein/44,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,out,2018,-6000000,29.0,1.77,right,GER-Bundesliga,Hertha BSC,Mitchell Weiser,GER,"DF,FW",23.0,1994.0,22.0,863.0,1180.0,73.1,15014.0,7458.0,394.0,482.0,81.7,372.0,473.0,78.6,80.0,158.0,50.6,2,3.7,3.7,-1.7,40.0,94.0,29.0,14.0,120.0,2018
Davy Klaassen,/davy-klaassen/profil/spieler/182932,25,AM,Netherlands,10000000,13500000,Everton FC,/fc-everton/startseite/verein/29,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86,in,2018,-3500000,30.0,1.79,right,ENG-Premier League,Everton,Davy Klaassen,NED,"MF,FW",24.0,1993.0,2.8,80.0,103.0,77.7,1223.0,282.0,39.0,47.0,83.0,32.0,40.0,80.0,4.0,5.0,80.0,0,0.1,0.1,-0.1,2.0,5.0,2.0,0.0,11.0,2018
