playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
Rúben Semedo,/ruben-semedo/profil/spieler/197602,23,CB,Portugal,3200000,14000000,Sporting CP,/sporting-lissabon/startseite/verein/336,Villarreal CF,/fc-villarreal/startseite/verein/1050,in,2017,-10800000,29.0,1.91,right,ESP-La Liga,Villarreal,POR,"DF,MF",23.0,1994.0,2.6,1.0,0.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Andrés Fernández,/andres-fernandez/profil/spieler/57522,30,GK,Spain,600000,2000000,FC Porto,/fc-porto/startseite/verein/720,Villarreal CF,/fc-villarreal/startseite/verein/1050,in,2017,-1400000,36.0,1.85,right,ESP-La Liga,Villarreal,ESP,GK,30.0,1986.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Cédric Bakambu,/cedric-bakambu/profil/spieler/127048,26,CF,DR Congo,5000000,40000000,Villarreal CF,/fc-villarreal/startseite/verein/1050,Beijing Guoan,/beijing-sinobo-guoan/startseite/verein/3176,out,2017,-35000000,32.0,1.82,right,ESP-La Liga,Villarreal,COD,FW,26.0,1991.0,14.0,25.0,1.78,18.0,0.0,3.0,4.0,0.0,0.0,1.0,0.07,0.0,0.0,1.0,0.0,0.0,0.0,2018
Mateo Musacchio,/mateo-musacchio/profil/spieler/45653,26,CB,Argentina,0,18000000,Villarreal CF,/fc-villarreal/startseite/verein/1050,AC Milan,/ac-mailand/startseite/verein/5,out,2017,-18000000,32.0,1.82,right,ITA-Serie A,Milan,ARG,DF,26.0,1990.0,13.4,20.0,1.5,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.22,3.0,0.0,0.0,0.0,0.0,0.0,2018
Diego Llorente,/diego-llorente/profil/spieler/246291,23,CB,Spain,12000000,11000000,Real Madrid,/real-madrid/startseite/verein/418,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,in,2017,1000000,29.0,1.86,right,ESP-La Liga,Real Sociedad,ESP,DF,23.0,1993.0,25.8,11.0,0.43,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,2018
Adnan Januzaj,/adnan-januzaj/profil/spieler/177847,22,RW,Belgium,6000000,8500000,Manchester United,/manchester-united/startseite/verein/985,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,in,2017,-2500000,28.0,1.86,left,ESP-La Liga,Real Sociedad,BEL,FW,22.0,1995.0,17.5,89.0,5.1,46.0,6.0,21.0,7.0,9.0,0.0,11.0,0.63,8.0,0.0,2.0,1.0,0.0,0.0,2018
Héctor Moreno,/hector-moreno/profil/spieler/51046,30,CB,Mexico,1200000,6000000,AS Roma,/as-rom/startseite/verein/12,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,in,2017,-4800000,35.0,1.84,left,ESP-La Liga,Real Sociedad,MEX,DF,29.0,1988.0,8.0,8.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,2018
Héctor Moreno,/hector-moreno/profil/spieler/51046,30,CB,Mexico,1200000,6000000,AS Roma,/as-rom/startseite/verein/12,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,in,2017,-4800000,35.0,1.84,left,ITA-Serie A,Roma,MEX,DF,29.0,1988.0,2.6,3.0,1.17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Yuri Berchiche,/yuri-berchiche/profil/spieler/61812,27,LB,Spain,2000000,16000000,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,out,2017,-14000000,33.0,1.81,left,FRA-Ligue 1,Paris S-G,ESP,DF,27.0,1990.0,19.1,36.0,1.89,28.0,2.0,1.0,1.0,3.0,1.0,7.0,0.37,5.0,0.0,1.0,0.0,1.0,0.0,2018
Carlos Vela,/carlos-vela/profil/spieler/35773,28,RW,Mexico,2500000,5000000,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,Los Angeles FC,/los-angeles-fc/startseite/verein/51828,out,2017,-2500000,34.0,1.77,left,ESP-La Liga,Real Sociedad,MEX,FW,28.0,1989.0,4.2,26.0,6.13,14.0,4.0,2.0,1.0,5.0,0.0,1.0,0.24,0.0,0.0,0.0,0.0,1.0,0.0,2018
Iñigo Martínez,/inigo-martinez/profil/spieler/158863,26,CB,Spain,10000000,32000000,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,in,2017,-22000000,32.0,1.82,left,ESP-La Liga,Athletic Club,ESP,DF,26.0,1991.0,16.0,9.0,0.56,6.0,1.0,0.0,1.0,1.0,0.0,1.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0,2018
Iñigo Martínez,/inigo-martinez/profil/spieler/158863,26,CB,Spain,10000000,32000000,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,in,2017,-22000000,32.0,1.82,left,ESP-La Liga,Real Sociedad,ESP,DF,26.0,1991.0,11.7,18.0,1.54,13.0,2.0,0.0,1.0,2.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,2018
Aymeric Laporte,/aymeric-laporte/profil/spieler/176553,23,CB,Spain,25000000,65000000,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,Manchester City,/manchester-city/startseite/verein/281,out,2017,-40000000,29.0,1.89,left,ENG-Premier League,Manchester City,ESP,DF,23.0,1994.0,9.0,12.0,1.34,10.0,1.0,0.0,1.0,0.0,0.0,2.0,0.22,1.0,1.0,0.0,0.0,0.0,0.0,2018
Aymeric Laporte,/aymeric-laporte/profil/spieler/176553,23,CB,Spain,25000000,65000000,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,Manchester City,/manchester-city/startseite/verein/281,out,2017,-40000000,29.0,1.89,left,ESP-La Liga,Athletic Club,ESP,DF,23.0,1994.0,19.0,11.0,0.58,10.0,0.0,0.0,0.0,1.0,0.0,2.0,0.11,1.0,0.0,0.0,0.0,1.0,0.0,2018
Mario Hermoso,/mario-hermoso/profil/spieler/281769,22,CB,Spain,20000000,12500000,Real Madrid Castilla,/real-madrid-b-castilla-/startseite/verein/6767,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,in,2017,7500000,28.0,1.84,left,ESP-La Liga,Espanyol,ESP,DF,22.0,1995.0,21.4,11.0,0.51,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Naldo,/naldo/profil/spieler/148666,28,CB,Brazil,450000,2500000,FK Krasnodar,/fk-krasnodar/startseite/verein/16704,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,in,2017,-2050000,34.0,1.88,right,ESP-La Liga,Espanyol,BRA,DF,28.0,1988.0,10.2,7.0,0.68,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Naldo,/naldo/profil/spieler/148666,28,CB,Brazil,450000,2500000,FK Krasnodar,/fk-krasnodar/startseite/verein/16704,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,in,2017,-2050000,34.0,1.88,right,GER-Bundesliga,Schalke 04,BRA,DF,34.0,1982.0,34.0,30.0,0.88,24.0,0.0,0.0,5.0,1.0,0.0,4.0,0.12,2.0,0.0,0.0,2.0,0.0,0.0,2018
Dídac Vilà,/didac-vila/profil/spieler/67090,28,LB,Spain,150000,250000,AEK Athens,/aek-athen/startseite/verein/2441,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,in,2017,-100000,34.0,1.85,left,ESP-La Liga,Espanyol,ESP,"DF,MF",28.0,1989.0,8.1,20.0,2.47,16.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Felipe Caicedo,/felipe-caicedo/profil/spieler/37834,28,CF,Ecuador,600000,2500000,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,SS Lazio,/lazio-rom/startseite/verein/398,out,2017,-1900000,34.0,1.83,left,ITA-Serie A,Lazio,ECU,"FW,MF",28.0,1988.0,8.0,17.0,2.14,10.0,0.0,5.0,2.0,0.0,0.0,2.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,2018
Javi Fuego,/javi-fuego/profil/spieler/56134,34,DM,Spain,0,1500000,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2017,-1500000,39.0,1.82,right,ESP-La Liga,Espanyol,ESP,MF,33.0,1984.0,14.9,11.0,0.74,6.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Javi Fuego,/javi-fuego/profil/spieler/56134,34,DM,Spain,0,1500000,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2017,-1500000,39.0,1.82,right,ESP-La Liga,Villarreal,ESP,MF,33.0,1984.0,6.0,5.0,0.84,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Burgui,/burgui/profil/spieler/246277,23,LW,Spain,50000,3000000,Real Madrid,/real-madrid/startseite/verein/418,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,in,2017,-2950000,29.0,1.86,right,ESP-La Liga,Alavés,ESP,"MF,FW",23.0,1993.0,11.5,46.0,4.0,36.0,0.0,2.0,3.0,4.0,1.0,4.0,0.35,3.0,0.0,1.0,0.0,0.0,0.0,2018
Rodrigo Ely,/rodrigo-ely/profil/spieler/176140,23,CB,Brazil,3000000,2800000,AC Milan,/ac-mailand/startseite/verein/5,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,in,2017,200000,29.0,1.88,right,ESP-La Liga,Alavés,BRA,DF,23.0,1993.0,29.9,16.0,0.54,13.0,0.0,0.0,2.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,2018
Guillermo Maripán,/guillermo-maripan/profil/spieler/249730,23,CB,Chile,10000000,2130000,CD Universidad Católica,/cd-universidad-catolica/startseite/verein/3277,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,in,2017,7870000,29.0,1.9,right,ESP-La Liga,Alavés,CHI,DF,23.0,1994.0,17.0,5.0,0.29,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,2018
Rubén Sobrino,/ruben-sobrino/profil/spieler/85383,25,CF,Spain,2000000,2000000,Manchester City,/manchester-city/startseite/verein/281,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,in,2017,0,31.0,1.85,right,ESP-La Liga,Alavés,ESP,"FW,MF",25.0,1992.0,16.3,40.0,2.45,26.0,0.0,8.0,0.0,5.0,1.0,5.0,0.31,2.0,0.0,2.0,0.0,1.0,0.0,2018
