playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Tomás Alarcón,/tomas-alarcon/profil/spieler/454238,22,DM,Chile,1500000,2000000,CD O'Higgins,/cd-ohiggins/startseite/verein/11470,Cádiz CF,/fc-cadiz/startseite/verein/2687,in,2021,-500000,24.0,1.76,right,ESP-La Liga,Cádiz,CHI,MF,22.0,1999.0,15.8,398.0,572.0,69.6,7977.0,2385.0,159.0,193.0,82.4,139.0,185.0,75.1,82.0,143.0,57.3,1,1.1,1.4,-0.1,14.0,41.0,7.0,4.0,55.0,2022
Landry Dimata,/landry-dimata/profil/spieler/311489,23,CF,Belgium,2500000,2200000,RSC Anderlecht,/rsc-anderlecht/startseite/verein/58,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,in,2021,300000,25.0,1.85,right,ESP-La Liga,Espanyol,BEL,"FW,MF",23.0,1997.0,6.0,67.0,92.0,72.8,949.0,133.0,32.0,42.0,76.2,25.0,32.0,78.1,4.0,4.0,100.0,0,0.3,0.2,-0.3,5.0,8.0,1.0,0.0,7.0,2022
Álvaro Vadillo,/alvaro-vadillo/profil/spieler/162074,26,LW,Spain,500000,1800000,Celta de Vigo,/celta-vigo/startseite/verein/940,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,in,2021,-1300000,28.0,1.8,right,ESP-La Liga,Espanyol,ESP,"DF,MF",26.0,1994.0,0.1,7.0,10.0,70.0,105.0,12.0,1.0,2.0,50.0,2.0,2.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2022
Sergi Gómez,/sergi-gomez/profil/spieler/92947,29,CB,Spain,2000000,1000000,Sevilla FC,/fc-sevilla/startseite/verein/368,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,in,2021,1000000,31.0,1.85,right,ESP-La Liga,Espanyol,ESP,DF,29.0,1992.0,30.2,1161.0,1371.0,84.7,23475.0,8416.0,339.0,373.0,90.9,677.0,721.0,93.9,136.0,246.0,55.3,2,1.2,0.9,0.8,4.0,46.0,0.0,0.0,43.0,2022
Jonás Ramalho,/jonas-ramalho/profil/spieler/69660,28,CB,Angola,600000,700000,Girona FC,/fc-girona/startseite/verein/12321,CA Osasuna,/ca-osasuna/startseite/verein/331,in,2021,-100000,30.0,1.85,right,ESP-La Liga,Osasuna,ESP,DF,28.0,1993.0,2.7,97.0,134.0,72.4,1567.0,629.0,48.0,55.0,87.3,40.0,56.0,71.4,8.0,16.0,50.0,0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,13.0,2022
Roberto Soldado,/roberto-soldado/profil/spieler/34870,36,CF,Spain,500000,500000,Granada CF,/fc-granada/startseite/verein/16795,Levante UD,/ud-levante/startseite/verein/3368,in,2021,0,38.0,1.8,right,ESP-La Liga,Levante,ESP,FW,36.0,1985.0,7.4,98.0,147.0,66.7,1307.0,261.0,58.0,84.0,69.0,27.0,37.0,73.0,4.0,7.0,57.1,2,0.7,0.9,1.3,8.0,9.0,4.0,1.0,14.0,2022
Enric Franquesa,/enric-franquesa/profil/spieler/282700,24,LB,Spain,800000,375000,Villarreal CF,/fc-villarreal/startseite/verein/1050,Levante UD,/ud-levante/startseite/verein/3368,in,2021,425000,26.0,1.74,left,ESP-La Liga,Levante,ESP,"DF,FW",24.0,1997.0,6.9,198.0,263.0,75.3,2823.0,876.0,124.0,136.0,91.2,62.0,84.0,73.8,8.0,19.0,42.1,0,0.1,0.2,-0.1,3.0,11.0,3.0,1.0,15.0,2022
Dimitri Foulquier,/dimitri-foulquier/profil/spieler/170472,28,RB,Guadeloupe,2500000,2500000,Granada CF,/fc-granada/startseite/verein/16795,Valencia CF,/fc-valencia/startseite/verein/1049,in,2021,0,30.0,1.83,right,ESP-La Liga,Granada,FRA,DF,28.0,1993.0,2.0,46.0,72.0,63.9,633.0,288.0,31.0,37.0,83.8,13.0,20.0,65.0,1.0,5.0,20.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,2022
Dimitri Foulquier,/dimitri-foulquier/profil/spieler/170472,28,RB,Guadeloupe,2500000,2500000,Granada CF,/fc-granada/startseite/verein/16795,Valencia CF,/fc-valencia/startseite/verein/1049,in,2021,0,30.0,1.83,right,ESP-La Liga,Valencia,FRA,DF,28.0,1993.0,26.0,702.0,1014.0,69.2,12016.0,5268.0,343.0,397.0,86.4,283.0,392.0,72.2,60.0,155.0,38.7,1,0.6,0.7,0.4,11.0,68.0,12.0,7.0,80.0,2022
Giorgi Mamardashvili,/giorgi-mamardashvili/profil/spieler/502676,21,GK,Georgia,25000000,850000,Dinamo Tbilisi,/dinamo-tiflis/startseite/verein/663,Valencia CF,/fc-valencia/startseite/verein/1049,in,2021,24150000,22.0,1.97,left,ESP-La Liga,Valencia,GEO,GK,20.0,2000.0,18.0,281.0,498.0,56.4,10131.0,8320.0,36.0,38.0,94.7,105.0,110.0,95.5,138.0,345.0,40.0,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2022
