playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,nextSeason
Dídac Vilà,/didac-vila/profil/spieler/67090,28,LB,Spain,150000,250000,AEK Athens,/aek-athen/startseite/verein/2441,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,in,2017,-100000,34.0,1.85,left,ESP-La Liga,Espanyol,ESP,"DF,MF",28.0,1989.0,14,731.0,52.0,21.4,8.1,7,85.0,6.0,7,19.0,11,1.36,9.0,10.0,-1.0,-0.12,0.04,11.6,11.0,0.6,0.07,0.47,2018
Felipe Caicedo,/felipe-caicedo/profil/spieler/37834,28,CF,Ecuador,600000,2500000,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,SS Lazio,/lazio-rom/startseite/verein/398,out,2017,-1900000,34.0,1.83,left,ITA-Serie A,Lazio,ECU,"FW,MF",28.0,1988.0,22,717.0,33.0,21.0,8.0,4,,3.0,18,,12,1.91,20.0,15.0,5.0,0.63,-0.54,16.4,11.2,5.2,0.66,0.17,2018
Javi Fuego,/javi-fuego/profil/spieler/56134,34,DM,Spain,0,1500000,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2017,-1500000,39.0,1.82,right,ESP-La Liga,Espanyol,ESP,MF,33.0,1984.0,17,1341.0,79.0,39.2,14.9,17,79.0,11.0,0,,0,1.12,7.0,19.0,-12.0,-0.81,-1.07,13.1,24.0,-10.9,-0.73,-0.72,2018
Javi Fuego,/javi-fuego/profil/spieler/56134,34,DM,Spain,0,1500000,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2017,-1500000,39.0,1.82,right,ESP-La Liga,Villarreal,ESP,MF,33.0,1984.0,11,537.0,49.0,15.7,6.0,6,78.0,3.0,5,14.0,3,1.09,6.0,14.0,-8.0,-1.34,-1.81,5.7,10.2,-4.5,-0.75,-0.89,2018
Burgui,/burgui/profil/spieler/246277,23,LW,Spain,50000,3000000,Real Madrid,/real-madrid/startseite/verein/418,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,in,2017,-2950000,29.0,1.86,right,ESP-La Liga,Alavés,ESP,"MF,FW",23.0,1993.0,23,1034.0,45.0,30.2,11.5,12,65.0,1.0,11,24.0,4,0.83,15.0,12.0,3.0,0.26,0.75,15.0,16.5,-1.4,-0.13,0.48,2018
Rodrigo Ely,/rodrigo-ely/profil/spieler/176140,23,CB,Brazil,3000000,2800000,AC Milan,/ac-mailand/startseite/verein/5,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,in,2017,200000,29.0,1.88,right,ESP-La Liga,Alavés,BRA,DF,23.0,1993.0,31,2691.0,87.0,78.7,29.9,30,90.0,28.0,1,6.0,1,1.23,30.0,40.0,-10.0,-0.33,-0.33,28.8,45.8,-17.0,-0.57,-0.52,2018
Guillermo Maripán,/guillermo-maripan/profil/spieler/249730,23,CB,Chile,10000000,2130000,CD Universidad Católica,/cd-universidad-catolica/startseite/verein/3277,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,in,2017,7870000,29.0,1.9,right,ESP-La Liga,Alavés,CHI,DF,23.0,1994.0,19,1528.0,80.0,44.7,17.0,17,89.0,16.0,2,7.0,13,1.32,18.0,20.0,-2.0,-0.12,0.26,17.7,23.1,-5.5,-0.32,0.25,2018
Rubén Sobrino,/ruben-sobrino/profil/spieler/85383,25,CF,Spain,2000000,2000000,Manchester City,/manchester-city/startseite/verein/281,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,in,2017,0,31.0,1.85,right,ESP-La Liga,Alavés,ESP,"FW,MF",25.0,1992.0,28,1466.0,52.0,42.9,16.3,15,82.0,9.0,13,18.0,2,1.04,16.0,25.0,-9.0,-0.55,-0.51,15.0,28.4,-13.4,-0.82,-0.63,2018
Antonio Sivera,/antonio-sivera/profil/spieler/298197,20,GK,Spain,1200000,2000000,Valencia Mestalla,/fc-valencia-b-mestalla-/startseite/verein/6182,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,in,2017,-800000,26.0,1.85,right,ESP-La Liga,Alavés,ESP,GK,20.0,1996.0,1,62.0,62.0,1.8,0.7,1,62.0,0.0,0,,34,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.6,-0.5,-0.76,-0.31,2018
Rubén Duarte,/ruben-duarte/profil/spieler/177046,21,LB,Spain,2500000,400000,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,in,2017,2100000,27.0,1.79,left,ESP-La Liga,Alavés,ESP,DF,21.0,1995.0,24,2138.0,89.0,62.5,23.8,24,89.0,21.0,0,,2,1.42,27.0,29.0,-2.0,-0.08,0.48,25.8,29.9,-4.1,-0.17,0.76,2018
Paulo Oliveira,/paulo-oliveira/profil/spieler/139336,25,CB,Portugal,3000000,4000000,Sporting CP,/sporting-lissabon/startseite/verein/336,SD Eibar,/sd-eibar/startseite/verein/1533,in,2017,-1000000,31.0,1.87,right,ESP-La Liga,Eibar,POR,DF,25.0,1992.0,26,2214.0,85.0,64.7,24.6,25,88.0,23.0,1,24.0,7,1.5,31.0,33.0,-2.0,-0.08,0.22,27.3,26.6,0.7,0.03,0.34,2018
Joan Jordán,/joan-jordan/profil/spieler/263727,23,CM,Spain,9000000,3800000,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,SD Eibar,/sd-eibar/startseite/verein/1533,in,2017,5200000,28.0,1.85,right,ESP-La Liga,Eibar,ESP,MF,23.0,1994.0,35,2427.0,69.0,71.0,27.0,25,88.0,20.0,10,22.0,2,1.4,31.0,33.0,-2.0,-0.07,0.29,27.9,30.3,-2.3,-0.09,0.02,2018
Marko Dmitrović,/marko-dmitrovi%C4%87/profil/spieler/94308,25,GK,Serbia,4000000,1000000,AD Alcorcón,/ad-alcorcon/startseite/verein/11596,SD Eibar,/sd-eibar/startseite/verein/1533,in,2017,3000000,31.0,1.89,left,ESP-La Liga,Eibar,SRB,GK,25.0,1992.0,36,3240.0,90.0,94.7,36.0,36,90.0,36.0,0,,2,1.31,40.0,49.0,-9.0,-0.25,-1.75,39.1,41.9,-2.9,-0.08,0.24,2018
