playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,nextSeason
Pablo Fornals,/pablo-fornals/profil/spieler/357885,23,AM,Spain,22000000,28000000,Villarreal CF,/fc-villarreal/startseite/verein/1050,West Ham United,/west-ham-united/startseite/verein/379,out,2019,-6000000,27.0,1.78,right,ESP-La Liga,Villarreal,Pablo Fornals,ESP,"MF,FW",22.0,1996.0,35,28,2479,27.5,2,3,5,2,0,0,4,0,3.7,3.7,5.9,9.6,55.0,174.0,172.0,0.07,0.11,0.18,0.07,0.18,0.13,0.21,0.35,0.13,0.35,2019
Roberto Soriano,/roberto-soriano/profil/spieler/63186,28,AM,Italy,2500000,8000000,Villarreal CF,/fc-villarreal/startseite/verein/1050,Bologna FC 1909,/fc-bologna/startseite/verein/1025,out,2019,-5500000,32.0,1.82,right,ITA-Serie A,Bologna,Roberto Soriano,ITA,MF,27.0,1991.0,17,17,1489,16.5,2,2,4,2,0,0,5,0,3.4,3.4,1.9,5.3,44.0,78.0,93.0,0.12,0.12,0.24,0.12,0.24,0.2,0.11,0.32,0.2,0.32,2019
Roberto Soriano,/roberto-soriano/profil/spieler/63186,28,AM,Italy,2500000,8000000,Villarreal CF,/fc-villarreal/startseite/verein/1050,Bologna FC 1909,/fc-bologna/startseite/verein/1025,out,2019,-5500000,32.0,1.82,right,ITA-Serie A,Torino,Roberto Soriano,ITA,MF,27.0,1991.0,11,6,468,5.2,0,2,2,0,0,0,1,0,0.2,0.2,0.4,0.6,14.0,22.0,47.0,0.0,0.38,0.38,0.0,0.38,0.04,0.08,0.12,0.04,0.12,2019
Nicola Sansone,/nicola-sansone/profil/spieler/82048,27,LW,Italy,1500000,8000000,Villarreal CF,/fc-villarreal/startseite/verein/1050,Bologna FC 1909,/fc-bologna/startseite/verein/1025,out,2019,-6500000,31.0,1.73,right,ESP-La Liga,Villarreal,Nicola Sansone,ITA,"FW,MF",26.0,1991.0,3,0,37,0.4,1,1,2,1,0,0,1,0,0.0,0.0,0.0,0.1,1.0,3.0,8.0,2.43,2.43,4.86,2.43,4.86,0.06,0.11,0.17,0.06,0.17,2019
Nicola Sansone,/nicola-sansone/profil/spieler/82048,27,LW,Italy,1500000,8000000,Villarreal CF,/fc-villarreal/startseite/verein/1050,Bologna FC 1909,/fc-bologna/startseite/verein/1025,out,2019,-6500000,31.0,1.73,right,ITA-Serie A,Bologna,Nicola Sansone,ITA,FW,26.0,1991.0,15,13,1139,12.7,2,4,6,2,0,0,4,1,1.7,1.7,2.3,4.1,40.0,35.0,108.0,0.16,0.32,0.47,0.16,0.47,0.14,0.18,0.32,0.14,0.32,2019
Denis Cheryshev,/denis-cheryshev/profil/spieler/98322,28,LW,Russia,1000000,6000000,Villarreal CF,/fc-villarreal/startseite/verein/1050,Valencia CF,/fc-valencia/startseite/verein/1049,out,2019,-5000000,32.0,1.79,left,ESP-La Liga,Valencia,Denis Cheryshev,RUS,MF,27.0,1990.0,27,19,1706,19.0,2,2,4,2,0,0,2,0,3.7,3.7,7.6,11.4,55.0,64.0,178.0,0.11,0.11,0.21,0.11,0.21,0.2,0.4,0.6,0.2,0.6,2019
Rúben Semedo,/ruben-semedo/profil/spieler/197602,25,CB,Portugal,3200000,4500000,Villarreal CF,/fc-villarreal/startseite/verein/1050,Olympiacos Piraeus,/olympiakos-piraus/startseite/verein/683,out,2019,-1300000,29.0,1.91,right,ESP-La Liga,Huesca,Rúben Semedo,POR,DF,24.0,1994.0,11,9,850,9.4,0,0,0,0,0,0,4,0,0.6,0.6,0.2,0.8,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,2019
Víctor Ruiz,/victor-ruiz/profil/spieler/62920,30,CB,Spain,1200000,2500000,Villarreal CF,/fc-villarreal/startseite/verein/1050,Besiktas JK,/besiktas-istanbul/startseite/verein/114,out,2019,-1300000,34.0,1.84,left,ESP-La Liga,Villarreal,Víctor Ruiz,ESP,DF,29.0,1989.0,22,22,1975,21.9,0,0,0,0,0,0,10,0,0.5,0.5,0.4,0.9,21.0,101.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,2019
Rúben Vezo,/ruben-vezo/profil/spieler/257851,25,CB,Portugal,3500000,5000000,Valencia CF,/fc-valencia/startseite/verein/1049,Levante UD,/ud-levante/startseite/verein/3368,in,2019,-1500000,29.0,1.82,right,ESP-La Liga,Levante,Rúben Vezo,POR,DF,24.0,1994.0,15,15,1339,14.9,2,1,3,2,0,0,4,0,0.7,0.7,1.1,1.8,4.0,42.0,4.0,0.13,0.07,0.2,0.13,0.2,0.05,0.07,0.12,0.05,0.12,2019
Rúben Vezo,/ruben-vezo/profil/spieler/257851,25,CB,Portugal,3500000,5000000,Valencia CF,/fc-valencia/startseite/verein/1049,Levante UD,/ud-levante/startseite/verein/3368,in,2019,-1500000,29.0,1.82,right,ESP-La Liga,Valencia,Rúben Vezo,POR,DF,24.0,1994.0,4,2,196,2.2,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,2019
