playerLink,currAge,height,foot,currClub,playerPos,playerCountry,playerMarketValue,playerName
/radosav-petrovic/profil/spieler/75296,34.0,1.9,right,Ordabasy Shymkent,DM,Serbia,200000,Radosav Petrovic
/frank-fielding/profil/spieler/57070,35.0,1.85,right,Stoke City,GK,England,200000,Frank Fielding
/stefan-savic/profil/spieler/107010,32.0,1.87,right,Atlético de Madrid,CB,Montenegro,6000000,Stefan Savic
/connor-wickham/profil/spieler/95435,30.0,1.89,right,Cardiff City,CF,England,500000,Connor Wickham
/dong-won-ji/profil/spieler/164265,32.0,1.87,right,FC Seoul,CF,"Korea, South",200000,Dong-won Ji
/james-mcclean/profil/spieler/85935,34.0,1.8,left,Wigan Athletic,LM,Ireland,500000,James McClean
/tim-ream/profil/spieler/145466,35.0,1.86,left,Fulham FC,CB,United States,1000000,Tim Ream
/danny-ward/profil/spieler/124172,32.0,1.8,left,Huddersfield Town,CF,England,700000,Danny Ward
/enda-stevens/profil/spieler/85706,32.0,1.83,left,Sheffield United,LB,Ireland,600000,Enda Stevens
/shane-lowry/profil/spieler/61576,34.0,1.9,left,Johor Darul Ta'zim,CB,Australia,250000,Shane Lowry
/rory-donnelly/profil/spieler/164389,31.0,1.88,right,Glentoran FC,CF,Northern Ireland,150000,Rory Donnelly
/shaun-macdonald/profil/spieler/10375,35.0,1.83,right,Penybont FC,CM,Wales,75000,Shaun MacDonald
/eden-hazard/profil/spieler/50202,32.0,1.75,right,Real Madrid,LW,Belgium,5000000,Eden Hazard
/oscar/profil/spieler/85314,31.0,1.79,right,Shanghai Port,AM,Brazil,8000000,Oscar
/cesar-azpilicueta/profil/spieler/57500,33.0,1.78,right,Chelsea FC,RB,Spain,5000000,César Azpilicueta
/thorgan-hazard/profil/spieler/102226,30.0,1.75,right,PSV Eindhoven,LW,Belgium,7000000,Thorgan Hazard
/sung-yueng-ki/profil/spieler/81796,34.0,1.89,right,FC Seoul,DM,"Korea, South",700000,Sung-yueng Ki
/pablo-hernandez/profil/spieler/46220,38.0,1.73,right,CD Castellón,AM,Spain,100000,Pablo Hernández
/kyle-bartley/profil/spieler/67421,32.0,1.94,right,West Bromwich Albion,CB,England,600000,Kyle Bartley
/joe-allen/profil/spieler/51452,33.0,1.7,right,Swansea City,CM,Wales,900000,Joe Allen
/shinji-kagawa/profil/spieler/81785,34.0,1.75,right,Cerezo Osaka,AM,Japan,800000,Shinji Kagawa
/wilfried-zaha/profil/spieler/145988,30.0,1.8,right,Crystal Palace,LW,Cote d'Ivoire,22000000,Wilfried Zaha
/nick-powell/profil/spieler/134424,29.0,1.83,both,Stoke City,AM,England,900000,Nick Powell
/angelo-henriquez/profil/spieler/189740,29.0,1.77,right,Miedz Legnica,CF,Chile,350000,Ángelo Henríquez
/alexander-buttner/profil/spieler/38003,34.0,1.74,left,De Graafschap Doetinchem,LB,Netherlands,300000,Alexander Büttner
/chris-wood/profil/spieler/108725,31.0,1.91,right,Nottingham Forest,CF,New Zealand,8000000,Chris Wood
/ashkan-dejagah/profil/spieler/13979,36.0,1.81,right,Foolad FC,RW,Iran,75000,Ashkan Dejagah
/vurnon-anita/profil/spieler/30670,34.0,1.69,right,RKC Waalwijk,DM,Curacao,300000,Vurnon Anita
/mathieu-debuchy/profil/spieler/27306,37.0,1.77,right,Valenciennes FC,CB,France,300000,Mathieu Debuchy
/massadio-haidara/profil/spieler/170929,30.0,1.79,left,RC Lens,LB,Mali,3000000,Massadio Haidara
/moussa-sissoko/profil/spieler/46001,33.0,1.87,right,FC Nantes,CM,France,3500000,Moussa Sissoko
/gael-bigirimana/profil/spieler/158697,29.0,1.75,right,Young Africans SC,CM,Burundi,100000,Gaël Bigirimana
/kevin-mbabu/profil/spieler/183321,28.0,1.84,right,Servette FC,RB,Switzerland,3500000,Kevin Mbabu
/curtis-good/profil/spieler/179471,30.0,1.87,left,Melbourne City FC,CB,Australia,550000,Curtis Good
/fraser-forster/profil/spieler/52570,35.0,2.01,right,Tottenham Hotspur,GK,England,1500000,Fraser Forster
/santi-cazorla/profil/spieler/15799,38.0,1.68,both,Al-Sadd SC,CM,Spain,500000,Santi Cazorla
/lukas-podolski/profil/spieler/15185,38.0,1.82,left,Górnik Zabrze,AM,Germany,250000,Lukas Podolski
/olivier-giroud/profil/spieler/82442,36.0,1.92,left,AC Milan,CF,France,4000000,Olivier Giroud
/henri-lansbury/profil/spieler/44794,32.0,1.83,right,Luton Town,CM,England,300000,Henri Lansbury
/christian-benteke/profil/spieler/50201,32.0,1.9,right,D.C. United,CF,Belgium,3000000,Christian Benteke
/matthew-lowton/profil/spieler/102258,34.0,1.8,right,Burnley FC,RB,England,250000,Matthew Lowton
/joe-bennett/profil/spieler/90964,33.0,1.78,left,Wigan Athletic,LB,England,300000,Joe Bennett
/ashley-westwood/profil/spieler/91317,33.0,1.74,right,Charlotte FC,DM,England,1000000,Ashley Westwood
/yacouba-sylla/profil/spieler/160080,32.0,1.84,right,Royal Excelsior Virton,DM,Mali,150000,Yacouba Sylla
/jordan-bowery/profil/spieler/94655,31.0,1.85,right,Mansfield Town,CF,England,175000,Jordan Bowery
/stephen-henderson/profil/spieler/52191,35.0,1.88,right,Without Club,GK,Ireland,150000,Stephen Henderson
/raphael-spiegel/profil/spieler/111428,30.0,1.97,right,FC Lausanne-Sport,GK,Switzerland,200000,Raphael Spiegel
/sam-baldock/profil/spieler/67211,34.0,1.7,right,Oxford United,CF,England,100000,Sam Baldock
/alfred-ndiaye/profil/spieler/77737,33.0,1.89,right,Málaga CF,DM,Senegal,1000000,Alfred N'Diaye
/cristian-riveros/profil/spieler/37713,40.0,1.79,right,Club Libertad Asunción,DM,Paraguay,50000,Cristian Riveros
/matija-nastasic/profil/spieler/143559,30.0,1.88,left,RCD Mallorca,CB,Serbia,1500000,Matija Nastasic
/jack-rodwell/profil/spieler/57079,32.0,1.88,right,Sydney FC,DM,England,350000,Jack Rodwell
/vladimir-weiss/profil/spieler/92701,33.0,1.73,right,Slovan Bratislava,LW,Slovakia,500000,Vladimir Weiss
/gaston-ramirez/profil/spieler/123742,32.0,1.83,left,Virtus Entella,AM,Uruguay,200000,Gastón Ramírez
/jay-rodriguez/profil/spieler/53360,33.0,1.85,right,Burnley FC,CF,England,1000000,Jay Rodríguez
/vegard-forren/profil/spieler/62054,35.0,1.86,left,KÍ Klaksvík,CB,Norway,25000,Vegard Forren
/nathaniel-clyne/profil/spieler/85177,32.0,1.75,right,Crystal Palace,RB,England,2000000,Nathaniel Clyne
/paulo-gazzaniga/profil/spieler/195488,31.0,1.95,right,Girona FC,GK,Argentina,3000000,Paulo Gazzaniga
/maya-yoshida/profil/spieler/81789,34.0,1.89,right,FC Schalke 04,CB,Japan,900000,Maya Yoshida
/hugo-lloris/profil/spieler/17965,36.0,1.88,left,Tottenham Hotspur,GK,France,3000000,Hugo Lloris
/jan-vertonghen/profil/spieler/43250,36.0,1.89,left,RSC Anderlecht,CB,Belgium,1500000,Jan Vertonghen
/lewis-holtby/profil/spieler/55508,32.0,1.76,left,Holstein Kiel,CM,Germany,500000,Lewis Holtby
/david-button/profil/spieler/61814,34.0,1.91,right,West Bromwich Albion,GK,England,250000,David Button
/philippe-coutinho/profil/spieler/80444,31.0,1.72,right,Aston Villa,LW,Brazil,10000000,Philippe Coutinho
/kevin-mirallas/profil/spieler/33639,35.0,1.82,right,AEL Limassol,AM,Belgium,350000,Kevin Mirallas
/bryan-oviedo/profil/spieler/124983,33.0,1.72,left,Real Salt Lake City,LB,Costa Rica,200000,Bryan Oviedo
/john-stones/profil/spieler/186590,29.0,1.88,right,Manchester City,CB,England,40000000,John Stones
/matty-kennedy/profil/spieler/132207,28.0,1.75,right,Aberdeen FC,LW,Northern Ireland,450000,Matty Kennedy
/robert-snodgrass/profil/spieler/22614,35.0,1.82,left,Heart of Midlothian FC,RW,Scotland,600000,Robert Snodgrass
