playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Matías Vecino,/matias-vecino/profil/spieler/143812,25,CM,Uruguay,4500000,24000000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Inter Milan,/inter-mailand/startseite/verein/46,in,2017,-19500000,31.0,1.87,right,ITA-Serie A,Inter,URU,MF,25.0,1991.0,23.7,1413.0,1620.0,87.2,21875.0,6458.0,768.0,834.0,92.1,522.0,582.0,89.7,86.0,122.0,70.5,2,2.8,3.2,-0.8,23.0,171.0,19.0,1.0,179.0,2018
Roberto Gagliardini,/roberto-gagliardini/profil/spieler/197471,23,CM,Italy,4000000,20500000,Atalanta BC,/atalanta-bergamo/startseite/verein/800,Inter Milan,/inter-mailand/startseite/verein/46,in,2017,-16500000,29.0,1.88,right,ITA-Serie A,Inter,ITA,MF,23.0,1994.0,22.1,1238.0,1473.0,84.0,19436.0,5252.0,640.0,715.0,89.5,460.0,532.0,86.5,89.0,136.0,65.4,0,1.4,1.2,-1.4,17.0,131.0,16.0,1.0,137.0,2018
Borja Valero,/borja-valero/profil/spieler/40372,32,CM,Spain,0,6500000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Inter Milan,/inter-mailand/startseite/verein/46,in,2017,-6500000,38.0,1.75,right,ITA-Serie A,Inter,ESP,MF,32.0,1985.0,28.5,1856.0,2058.0,90.2,29992.0,7777.0,973.0,1031.0,94.4,627.0,683.0,91.8,180.0,223.0,80.7,0,1.8,1.7,-1.8,35.0,206.0,21.0,1.0,236.0,2018
Éver Banega,/ever-banega/profil/spieler/12249,29,CM,Argentina,1800000,7000000,Inter Milan,/inter-mailand/startseite/verein/46,Sevilla FC,/fc-sevilla/startseite/verein/368,out,2017,-5200000,35.0,1.74,right,ESP-La Liga,Sevilla,ARG,MF,29.0,1988.0,26.7,1896.0,2309.0,82.1,35620.0,13307.0,784.0,865.0,90.6,811.0,923.0,87.9,260.0,421.0,61.8,3,6.2,5.5,-3.2,66.0,268.0,38.0,2.0,350.0,2018
Saphir Taïder,/saphir-taider/profil/spieler/144779,25,CM,Algeria,700000,4000000,Inter Milan,/inter-mailand/startseite/verein/46,Bologna FC 1909,/fc-bologna/startseite/verein/1025,out,2017,-3300000,31.0,1.8,right,ITA-Serie A,Bologna,ALG,MF,25.0,1992.0,4.3,196.0,218.0,89.9,3592.0,783.0,80.0,85.0,94.1,80.0,92.0,87.0,29.0,31.0,93.5,1,0.2,0.4,0.8,4.0,14.0,3.0,0.0,19.0,2018
Senna Miangue,/senna-miangue/profil/spieler/249552,20,LB,Belgium,600000,3200000,Inter Milan,/inter-mailand/startseite/verein/46,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,out,2017,-2600000,26.0,1.92,left,ITA-Serie A,Cagliari,BEL,"DF,FW",20.0,1997.0,8.9,271.0,405.0,66.9,4698.0,2114.0,125.0,152.0,82.2,114.0,168.0,67.9,30.0,70.0,42.9,1,1.3,1.5,-0.3,11.0,17.0,13.0,10.0,30.0,2018
Bright Gyamfi,/bright-gyamfi/profil/spieler/339982,21,RB,Ghana,150000,280000,Inter Milan,/inter-mailand/startseite/verein/46,Benevento Calcio,/benevento-calcio/startseite/verein/4171,out,2017,-130000,27.0,1.78,right,ITA-Serie A,Benevento,GHA,DF,21.0,1996.0,3.6,142.0,181.0,78.5,2043.0,712.0,88.0,97.0,90.7,49.0,66.0,74.2,3.0,8.0,37.5,0,0.0,0.2,0.0,1.0,6.0,3.0,2.0,8.0,2018
Federico Bernardeschi,/federico-bernardeschi/profil/spieler/197300,23,RW,Italy,8000000,40000000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Juventus FC,/juventus-turin/startseite/verein/506,in,2017,-32000000,29.0,1.83,left,ITA-Serie A,Juventus,ITA,"FW,MF",23.0,1994.0,9.4,304.0,380.0,80.0,5531.0,1191.0,141.0,161.0,87.6,114.0,134.0,85.1,37.0,58.0,63.8,3,2.0,1.7,1.0,14.0,18.0,17.0,2.0,40.0,2018
Blaise Matuidi,/blaise-matuidi/profil/spieler/33923,30,CM,France,0,25000000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,Juventus FC,/juventus-turin/startseite/verein/506,in,2017,-25000000,36.0,1.75,left,FRA-Ligue 1,Paris S-G,FRA,MF,30.0,1987.0,0.3,14.0,17.0,82.4,151.0,43.0,13.0,14.0,92.9,0.0,1.0,0.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Blaise Matuidi,/blaise-matuidi/profil/spieler/33923,30,CM,France,0,25000000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,Juventus FC,/juventus-turin/startseite/verein/506,in,2017,-25000000,36.0,1.75,left,ITA-Serie A,Juventus,FRA,MF,30.0,1987.0,26.2,1247.0,1387.0,89.9,19550.0,4859.0,622.0,658.0,94.5,487.0,538.0,90.5,81.0,97.0,83.5,1,0.9,0.9,0.1,17.0,123.0,11.0,2.0,141.0,2018
Rodrigo Bentancur,/rodrigo-bentancur/profil/spieler/354362,20,CM,Uruguay,40000000,21700000,CA Boca Juniors,/club-atletico-boca-juniors/startseite/verein/189,Juventus FC,/juventus-turin/startseite/verein/506,in,2017,18300000,26.0,1.87,right,ITA-Serie A,Juventus,URU,MF,20.0,1997.0,6.5,466.0,530.0,87.9,7376.0,1863.0,226.0,247.0,91.5,186.0,206.0,90.3,32.0,41.0,78.0,0,0.3,0.5,-0.3,8.0,33.0,2.0,0.0,33.0,2018
