playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,nextSeason
Brandon Soppy,/brandon-soppy/profil/spieler/546880,20,RB,France,9000000,9100000,Udinese Calcio,/udinese-calcio/startseite/verein/410,Atalanta BC,/atalanta-bergamo/startseite/verein/800,out,2022,-100000,21.0,1.81,right,ITA-Serie A,Udinese,Brandon Soppy,FRA,"DF,MF",19.0,2002.0,8.6,4,0,0.0,23,33.0,0.0,13.0,5.0,9.0,0.0,0.0,0.0,47.0,6.0,13.0,31.6,2022
Arthur Theate,/arthur-theate/profil/spieler/368891,22,CB,Belgium,22000000,6750000,KV Oostende,/kv-oostende/startseite/verein/2861,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2022,15250000,23.0,1.85,left,ITA-Serie A,Bologna,Arthur Theate,BEL,DF,21.0,2000.0,26.9,6,0,0.0,26,10.0,1.0,18.0,42.0,19.0,0.0,1.0,0.0,181.0,39.0,39.0,50.0,2022
Arthur Theate,/arthur-theate/profil/spieler/368891,22,CB,Belgium,22000000,19000000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,out,2022,3000000,23.0,1.85,left,ITA-Serie A,Bologna,Arthur Theate,BEL,DF,21.0,2000.0,26.9,6,0,0.0,26,10.0,1.0,18.0,42.0,19.0,0.0,1.0,0.0,181.0,39.0,39.0,50.0,2022
Michel Aebischer,/michel-aebischer/profil/spieler/237658,25,CM,Switzerland,4000000,4000000,BSC Young Boys,/bsc-young-boys/startseite/verein/452,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2022,0,26.0,1.83,right,ITA-Serie A,Bologna,Michel Aebischer,SUI,MF,24.0,1997.0,4.9,1,0,0.0,13,4.0,0.0,7.0,6.0,5.0,0.0,0.0,0.0,27.0,5.0,4.0,55.6,2022
Aaron Hickey,/aaron-hickey/profil/spieler/591949,20,RB,Scotland,25000000,16500000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Brentford FC,/fc-brentford/startseite/verein/1148,out,2022,8500000,21.0,1.85,both,ITA-Serie A,Bologna,Aaron Hickey,SCO,DF,19.0,2002.0,31.3,7,0,0.0,39,71.0,4.0,52.0,29.0,29.0,0.0,0.0,0.0,134.0,17.0,30.0,36.2,2022
Mattias Svanberg,/mattias-svanberg/profil/spieler/342405,23,CM,Sweden,18000000,9000000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82,out,2022,9000000,24.0,1.85,right,ITA-Serie A,Bologna,Mattias Svanberg,SWE,MF,22.0,1999.0,28.5,7,0,0.0,37,63.0,0.0,50.0,28.0,15.0,0.0,0.0,0.0,132.0,22.0,33.0,40.0,2022
Guglielmo Vicario,/guglielmo-vicario/profil/spieler/286047,25,GK,Italy,16000000,8500000,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,FC Empoli,/fc-empoli/startseite/verein/749,in,2022,7500000,26.0,1.94,right,ITA-Serie A,Empoli,Guglielmo Vicario,ITA,GK,24.0,1996.0,38.0,1,0,0.0,1,7.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,50.0,12.0,1.0,92.3,2022
Liberato Cacace,/liberato-cacace/profil/spieler/469211,21,LB,New Zealand,2000000,3000000,Sint-Truidense VV,/vv-st-truiden/startseite/verein/475,FC Empoli,/fc-empoli/startseite/verein/749,in,2022,-1000000,22.0,1.83,left,ITA-Serie A,Empoli,Liberato Cacace,NZL,DF,20.0,2000.0,5.2,1,0,0.0,9,6.0,0.0,11.0,8.0,6.0,0.0,0.0,0.0,29.0,2.0,6.0,25.0,2022
Mattia Viti,/mattia-viti/profil/spieler/493702,20,CB,Italy,7000000,13000000,FC Empoli,/fc-empoli/startseite/verein/749,OGC Nice,/ogc-nizza/startseite/verein/417,out,2022,-6000000,21.0,1.9,left,ITA-Serie A,Empoli,Mattia Viti,ITA,DF,19.0,2002.0,16.6,3,1,1.0,15,13.0,1.0,0.0,29.0,16.0,0.0,0.0,1.0,83.0,29.0,33.0,46.8,2022
Samuele Ricci,/samuele-ricci/profil/spieler/467992,20,DM,Italy,20000000,8500000,FC Empoli,/fc-empoli/startseite/verein/749,Torino FC,/fc-turin/startseite/verein/416,out,2022,11500000,21.0,1.8,right,ITA-Serie A,Empoli,Samuele Ricci,ITA,MF,19.0,2001.0,17.0,1,1,0.0,17,42.0,0.0,6.0,31.0,19.0,0.0,0.0,0.0,121.0,3.0,4.0,42.9,2022
Samuele Ricci,/samuele-ricci/profil/spieler/467992,20,DM,Italy,20000000,8500000,FC Empoli,/fc-empoli/startseite/verein/749,Torino FC,/fc-turin/startseite/verein/416,out,2022,11500000,21.0,1.8,right,ITA-Serie A,Torino,Samuele Ricci,ITA,MF,19.0,2001.0,8.0,1,0,0.0,14,13.0,2.0,0.0,14.0,4.0,0.0,0.0,0.0,40.0,1.0,5.0,16.7,2022
Francesco Caputo,/francesco-caputo/profil/spieler/84765,34,CF,Italy,1500000,3500000,US Sassuolo,/us-sassuolo/startseite/verein/6574,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,in,2022,-2000000,35.0,1.81,right,ITA-Serie A,Sampdoria,Francesco Caputo,ITA,FW,33.0,1987.0,31.0,0,0,0.0,23,38.0,36.0,12.0,2.0,2.0,3.0,0.0,0.0,61.0,24.0,33.0,42.1,2022
Francesco Caputo,/francesco-caputo/profil/spieler/84765,34,CF,Italy,1500000,3500000,US Sassuolo,/us-sassuolo/startseite/verein/6574,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,in,2022,-2000000,35.0,1.81,right,ITA-Serie A,Sassuolo,Francesco Caputo,ITA,FW,33.0,1987.0,1.7,1,0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7,2022
Abdelhamid Sabiri,/abdelhamid-sabiri/profil/spieler/340394,25,AM,Morocco,2500000,1000000,Ascoli Calcio,/ascoli-calcio/startseite/verein/408,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,in,2022,1500000,26.0,1.86,right,ITA-Serie A,Sampdoria,Abdelhamid Sabiri,MAR,"MF,FW",24.0,1996.0,9.9,3,0,0.0,21,34.0,1.0,15.0,7.0,18.0,0.0,0.0,0.0,39.0,26.0,26.0,50.0,2022
