playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,nextSeason
Kevin Lasagna,/kevin-lasagna/profil/spieler/131951,28,CF,Italy,1800000,6500000,Udinese Calcio,/udinese-calcio/startseite/verein/410,Hellas Verona,/hellas-verona/startseite/verein/276,out,2021,-4700000,30.0,1.81,left,ITA-Serie A,Hellas Verona,ITA,"MF,FW",28.0,1992.0,13.2,447.0,11.0,42.0,181.0,237.0,63.0,447.0,19.0,10.0,52.6,9.0,47.4,226.0,1519.0,700.0,26.0,13.0,7.0,55.0,27.0,315.0,104.0,2022
Stefano Okaka,/stefano-okaka/profil/spieler/35249,32,CF,Italy,1300000,1500000,Udinese Calcio,/udinese-calcio/startseite/verein/410,Basaksehir FK,/istanbul-basaksehir-fk/startseite/verein/6890,out,2021,-200000,33.0,1.86,right,ITA-Serie A,Udinese,ITA,FW,31.0,1989.0,0.2,9.0,1.0,1.0,5.0,4.0,2.0,9.0,0.0,0.0,,0.0,,4.0,44.0,28.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,2022
Nicolás González,/nicolas-gonzalez/profil/spieler/486031,23,LW,Argentina,30000000,24500000,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2021,5500000,25.0,1.8,left,ESP-La Liga,Barcelona,ESP,MF,19.0,2002.0,12.4,833.0,17.0,113.0,470.0,262.0,27.0,833.0,43.0,34.0,79.1,9.0,20.9,522.0,3052.0,1582.0,37.0,34.0,7.0,37.0,19.0,623.0,45.0,2022
Nicolás González,/nicolas-gonzalez/profil/spieler/486031,23,LW,Argentina,30000000,24500000,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2021,5500000,25.0,1.8,left,ITA-Serie A,Fiorentina,ARG,FW,23.0,1998.0,26.2,1313.0,7.0,111.0,572.0,657.0,137.0,1310.0,115.0,57.0,49.6,57.0,49.6,867.0,6278.0,2785.0,97.0,80.0,37.0,97.0,39.0,1055.0,210.0,2022
Igor,/igor/profil/spieler/380350,23,CB,Brazil,10000000,6000000,SPAL,/spal/startseite/verein/2722,ACF Fiorentina,/ac-florenz/startseite/verein/430,in,2021,4000000,25.0,1.85,left,ITA-Serie A,Fiorentina,BRA,DF,23.0,1998.0,24.9,1905.0,134.0,947.0,935.0,39.0,15.0,1905.0,12.0,12.0,100.0,0.0,0.0,1206.0,6111.0,3553.0,20.0,8.0,0.0,18.0,3.0,1350.0,1.0,2022
Pol Lirola,/pol-lirola/profil/spieler/298975,24,RB,Spain,2000000,13000000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Olympique Marseille,/olympique-marseille/startseite/verein/244,out,2021,-11000000,25.0,1.83,right,FRA-Ligue 1,Marseille,ESP,"DF,FW",23.0,1997.0,19.7,1301.0,30.0,249.0,590.0,476.0,60.0,1301.0,46.0,25.0,54.3,21.0,45.7,843.0,4943.0,2629.0,74.0,33.0,13.0,38.0,17.0,891.0,205.0,2022
Alban Lafont,/alban-lafont/profil/spieler/357117,22,GK,France,16000000,7500000,ACF Fiorentina,/ac-florenz/startseite/verein/430,FC Nantes,/fc-nantes/startseite/verein/995,out,2021,8500000,24.0,1.96,right,FRA-Ligue 1,Nantes,FRA,GK,22.0,1999.0,38.0,1233.0,1017.0,1227.0,6.0,0.0,0.0,1233.0,0.0,0.0,,0.0,,615.0,3123.0,1539.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,2022
Germán Pezzella,/german-pezzella/profil/spieler/113133,30,CB,Argentina,5000000,3250000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,out,2021,1750000,32.0,1.87,right,ESP-La Liga,Betis,ARG,DF,30.0,1991.0,22.1,1273.0,178.0,750.0,496.0,33.0,28.0,1273.0,3.0,3.0,100.0,0.0,0.0,696.0,2436.0,1041.0,2.0,2.0,0.0,3.0,1.0,797.0,5.0,2022
Federico Ceccherini,/federico-ceccherini/profil/spieler/163639,29,CB,Italy,1500000,3000000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Hellas Verona,/hellas-verona/startseite/verein/276,out,2021,-1500000,31.0,1.87,right,ITA-Serie A,Hellas Verona,ITA,DF,29.0,1992.0,26.2,1471.0,108.0,604.0,728.0,155.0,33.0,1471.0,21.0,14.0,66.7,7.0,33.3,813.0,3512.0,1626.0,20.0,21.0,3.0,30.0,12.0,864.0,41.0,2022
Janis Antiste,/janis-antiste/profil/spieler/538974,19,CF,France,3000000,4600000,FC Toulouse,/fc-toulouse/startseite/verein/415,Spezia Calcio,/spezia-calcio/startseite/verein/3522,in,2021,-1600000,20.0,1.83,right,ITA-Serie A,Spezia,FRA,FW,18.0,2002.0,8.8,312.0,6.0,63.0,119.0,135.0,39.0,312.0,21.0,8.0,38.1,13.0,61.9,156.0,995.0,395.0,10.0,6.0,8.0,24.0,7.0,192.0,60.0,2022
