league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
ENG-Premier League,2012,Chelsea,Petr Čech,CZE,GK,30,1982,36,36,3195,35.5,36,1.01,154,118,76.6,21,8,6,14,38.9,,,,,,2013
ENG-Premier League,2012,Chelsea,Ross Turnbull,ENG,GK,27,1985,3,2,225,2.5,3,1.20,8,5,62.5,1,1,1,0,0.0,,,,,,2013
ENG-Premier League,2012,Everton,Ján Mucha,SVK,GK,29,1982,2,2,180,2.0,1,0.50,13,12,92.3,1,1,0,1,50.0,,,,,,2013
ENG-Premier League,2012,Everton,Tim Howard,USA,GK,33,1979,36,36,3240,36.0,39,1.08,130,91,70.0,15,14,7,10,27.8,,,,,,2013
ENG-Premier League,2012,Fulham,David Stockdale,ENG,GK,26,1985,2,2,180,2.0,3,1.50,12,9,75.0,1,0,1,0,0.0,,,,,,2013
ENG-Premier League,2012,Fulham,Mark Schwarzer,AUS,GK,39,1972,36,36,3240,36.0,57,1.58,186,129,69.4,10,10,16,8,22.2,,,,,,2013
ENG-Premier League,2012,Liverpool,Brad Jones,AUS,GK,30,1982,7,7,630,7.0,9,1.29,31,22,71.0,3,3,1,2,28.6,,,,,,2013
ENG-Premier League,2012,Liverpool,Pepe Reina,ESP,GK,29,1982,31,31,2790,31.0,34,1.10,104,70,67.3,13,10,8,14,45.2,,,,,,2013
ENG-Premier League,2012,Manchester City,Joe Hart,ENG,GK,25,1987,38,38,3420,38.0,34,0.89,112,78,69.6,23,9,6,18,47.4,,,,,,2013
ENG-Premier League,2012,Manchester Utd,Anders Lindegaard,DEN,GK,28,1984,10,10,900,10.0,17,1.70,38,21,55.3,6,1,3,2,20.0,,,,,,2013
ENG-Premier League,2012,Manchester Utd,David de Gea,ESP,GK,21,1990,28,28,2520,28.0,26,0.93,114,88,77.2,22,4,2,11,39.3,,,,,,2013
ENG-Premier League,2012,Newcastle Utd,Rob Elliot,IRL,GK,26,1986,10,9,835,9.3,20,2.16,45,25,55.6,3,2,5,1,11.1,,,,,,2013
ENG-Premier League,2012,Newcastle Utd,Steve Harper,ENG,GK,37,1975,6,5,459,5.1,8,1.57,26,18,69.2,2,2,2,1,20.0,,,,,,2013
ENG-Premier League,2012,Newcastle Utd,Tim Krul,NED,GK,24,1988,24,24,2126,23.6,40,1.69,118,78,66.1,6,4,12,4,16.7,,,,,,2013
