league,season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
ENG-Premier League,2017,Brighton,Pascal Groß,GER,"FW,MF",26,1991,32.5,134,4.12,78,47,3,4,2,0,13,0.40,10,3,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Sam Baldock,ENG,FW,28,1989,0.4,1,2.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Shane Duffy,IRL,DF,25,1992,36.6,13,0.36,8,0,0,3,2,0,2,0.05,1,0,0,0,1,0,2018
ENG-Premier League,2017,Brighton,Solly March,ENG,"MF,FW",23,1994,20.6,48,2.34,36,6,4,0,2,0,4,0.19,3,0,0,0,1,0,2018
ENG-Premier League,2017,Brighton,Tomer Hemed,ISR,FW,30,1987,9.4,7,0.74,5,0,0,1,1,0,2,0.21,2,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Uwe Hünemeier,GER,DF,31,1986,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Burnley,Aaron Lennon,ENG,MF,30,1987,12.4,22,1.77,13,0,1,5,2,1,3,0.24,2,0,0,1,0,0,2018
ENG-Premier League,2017,Burnley,Aiden O'Neill,AUS,MF,19,1998,0.0,,,,,,,,,,,,,,,,,2018
ENG-Premier League,2017,Burnley,Ashley Barnes,ENG,FW,27,1989,24.1,51,2.12,34,0,4,2,11,0,7,0.29,5,0,1,0,1,0,2018
ENG-Premier League,2017,Burnley,Ashley Westwood,ENG,MF,27,1990,12.3,17,1.38,14,2,0,1,0,0,2,0.16,0,1,0,1,0,0,2018
ENG-Premier League,2017,Burnley,Ben Mee,ENG,DF,27,1989,29.0,26,0.90,22,0,0,3,1,0,1,0.03,1,0,0,0,0,0,2018
ENG-Premier League,2017,Burnley,Charlie Taylor,ENG,DF,23,1993,10.6,13,1.23,10,1,1,0,1,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Burnley,Chris Wood,NZL,FW,25,1991,18.0,29,1.61,21,0,3,2,3,0,3,0.17,1,0,0,2,0,0,2018
ENG-Premier League,2017,Burnley,Georges-Kévin N'Koudou,CMR,"MF,FW",22,1995,2.5,6,2.37,3,1,1,0,1,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Burnley,Jack Cork,ENG,MF,28,1989,38.0,67,1.76,53,2,2,3,5,2,5,0.13,4,0,0,1,0,0,2018
ENG-Premier League,2017,Burnley,James Tarkowski,ENG,DF,24,1992,31.0,23,0.74,20,0,1,2,0,0,3,0.10,2,0,0,1,0,0,2018
ENG-Premier League,2017,Burnley,Jeff Hendrick,IRL,"FW,MF",25,1992,25.9,51,1.97,38,0,5,3,4,1,3,0.12,1,0,1,1,0,0,2018
ENG-Premier League,2017,Burnley,Jonathan Walters,IRL,FW,33,1983,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
