playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,nextSeason
Terence Kongolo,/terence-kongolo/profil/spieler/152651,24,CB,Netherlands,900000,20000000,AS Monaco,/as-monaco/startseite/verein/162,Huddersfield Town,/huddersfield-town/startseite/verein/1110,out,2018,-19100000,29.0,1.88,left,FRA-Ligue 1,Monaco,Terence Kongolo,NED,DF,23.0,1994.0,3,257.0,86.0,7.5,2.9,3,86.0,2.0,0,,8,2.0,4.0,4.0,0.0,0.0,-1.14,3.6,3.8,-0.2,-0.08,-0.48,2018
Rachid Ghezzal,/rachid-ghezzal/profil/spieler/118287,26,RW,Algeria,5000000,14000000,AS Monaco,/as-monaco/startseite/verein/162,Leicester City,/leicester-city/startseite/verein/1003,out,2018,-9000000,31.0,1.82,left,FRA-Ligue 1,Monaco,Rachid Ghezzal,ALG,"FW,MF",25.0,1992.0,26,1006.0,39.0,29.4,11.2,7,78.0,2.0,19,24.0,4,2.0,29.0,12.0,17.0,1.52,0.66,24.8,14.1,10.7,0.96,0.85,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,24,CM,France,3500000,11500000,AS Monaco,/as-monaco/startseite/verein/162,Torino FC,/fc-turin/startseite/verein/416,out,2018,-8000000,29.0,1.87,right,FRA-Ligue 1,Bordeaux,Soualiho Meïté,FRA,MF,23.0,1994.0,18,1335.0,74.0,39.0,14.8,15,84.0,12.0,3,23.0,0,1.94,26.0,14.0,12.0,0.81,1.11,23.0,13.4,9.7,0.65,0.75,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,24,CM,France,3500000,11500000,AS Monaco,/as-monaco/startseite/verein/162,Torino FC,/fc-turin/startseite/verein/416,out,2018,-8000000,29.0,1.87,right,FRA-Ligue 1,Monaco,Soualiho Meïté,FRA,MF,23.0,1994.0,2,96.0,48.0,2.8,1.1,1,90.0,1.0,1,6.0,1,1.5,2.0,3.0,-1.0,-0.94,-2.05,1.7,1.8,0.0,-0.04,-0.41,2018
Adama Diakhaby,/adama-diakhaby/profil/spieler/453594,22,RW,France,600000,10000000,AS Monaco,/as-monaco/startseite/verein/162,Huddersfield Town,/huddersfield-town/startseite/verein/1110,out,2018,-9400000,26.0,1.84,left,FRA-Ligue 1,Monaco,Adama Diakhaby,FRA,FW,21.0,1996.0,22,850.0,39.0,24.9,9.4,10,68.0,1.0,12,14.0,10,2.0,17.0,13.0,4.0,0.42,-0.84,12.4,12.6,-0.2,-0.02,-0.51,2018
João Moutinho,/joao-moutinho/profil/spieler/29364,31,CM,Portugal,1500000,5600000,AS Monaco,/as-monaco/startseite/verein/162,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,out,2018,-4100000,36.0,1.7,right,FRA-Ligue 1,Monaco,João Moutinho,POR,MF,30.0,1986.0,33,2803.0,85.0,82.0,31.1,31,90.0,30.0,2,10.0,3,2.15,71.0,42.0,29.0,0.93,-0.67,50.9,41.6,9.3,0.3,-0.36,2018
Almamy Touré,/almamy-toure/profil/spieler/216181,22,CB,Mali,2500000,750000,AS Monaco,/as-monaco/startseite/verein/162,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,out,2018,1750000,27.0,1.83,right,FRA-Ligue 1,Monaco,Almamy Touré,MLI,DF,21.0,1996.0,20,1248.0,62.0,36.5,13.9,13,88.0,12.0,7,14.0,12,1.9,24.0,21.0,3.0,0.22,-1.32,18.3,23.2,-4.9,-0.35,-1.12,2018
Gaëtan Laborde,/gaetan-laborde/profil/spieler/181378,24,CF,France,16000000,3000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2018,13000000,29.0,1.81,left,FRA-Ligue 1,Bordeaux,Gaëtan Laborde,FRA,FW,23.0,1994.0,20,957.0,48.0,28.0,10.6,10,76.0,3.0,10,20.0,7,1.6,15.0,9.0,6.0,0.56,0.6,13.8,10.7,3.1,0.29,0.13,2018
Florent Mollet,/florent-mollet/profil/spieler/222859,26,AM,France,2000000,2600000,FC Metz,/fc-metz/startseite/verein/347,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2018,-600000,31.0,1.75,right,FRA-Ligue 1,Metz,Florent Mollet,FRA,"MF,FW",25.0,1991.0,22,1412.0,64.0,41.3,15.7,16,81.0,8.0,6,20.0,5,0.77,19.0,32.0,-13.0,-0.83,0.47,17.4,29.8,-12.4,-0.79,0.05,2018
Junior Sambia,/junior-sambia/profil/spieler/335147,21,RB,France,3500000,2000000,Chamois Niortais FC,/chamois-niortais-fc/startseite/verein/1161,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2018,1500000,26.0,1.85,right,FRA-Ligue 1,Montpellier,Junior Sambia,FRA,MF,20.0,1996.0,28,1543.0,55.0,45.1,17.1,16,81.0,8.0,12,21.0,7,1.43,16.0,13.0,3.0,0.17,0.17,17.3,19.4,-2.1,-0.12,-0.4,2018
