playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,nextSeason
Mehdi Abeid,/mehdi-abeid/profil/spieler/111036,28,CM,Algeria,2000000,1500000,FC Nantes,/fc-nantes/startseite/verein/995,Al-Nasr SC (UAE),/al-nasr-dubai-/startseite/verein/5432,out,2020,500000,30.0,1.78,right,FRA-Ligue 1,Nantes,ALG,MF,27.0,1992.0,14.7,34.0,19.0,16.0,14.0,4.0,15.0,30.0,50.0,15.0,9.0,2.0,7.0,20.0,54.0,10.0,0.0,2021
Steve Mounié,/steve-mounie/profil/spieler/238639,25,CF,Benin,5000000,5000000,Huddersfield Town,/huddersfield-town/startseite/verein/1110,Stade Brestois 29,/stade-brest-29/startseite/verein/3911,in,2020,0,28.0,1.9,right,FRA-Ligue 1,Brest,BEN,FW,25.0,1994.0,29.8,15.0,11.0,3.0,11.0,1.0,3.0,28.0,10.7,25.0,18.0,3.0,15.0,12.0,27.0,40.0,0.0,2021
Christophe Hérelle,/christophe-herelle/profil/spieler/170544,27,CB,Martinique,2000000,4000000,OGC Nice,/ogc-nizza/startseite/verein/417,Stade Brestois 29,/stade-brest-29/startseite/verein/3911,in,2020,-2000000,30.0,1.88,right,FRA-Ligue 1,Brest,MTQ,DF,27.0,1992.0,15.3,19.0,13.0,12.0,6.0,1.0,10.0,12.0,83.3,2.0,13.0,9.0,4.0,31.0,50.0,41.0,2.0,2021
Heriberto Tavares,/heriberto-tavares/profil/spieler/445517,23,RW,Portugal,600000,1200000,SL Benfica,/benfica-lissabon/startseite/verein/294,Stade Brestois 29,/stade-brest-29/startseite/verein/3911,in,2020,-600000,26.0,1.81,left,FRA-Ligue 1,Brest,POR,"FW,MF",23.0,1997.0,0.5,2.0,0.0,0.0,0.0,2.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2021
Romain Faivre,/romain-faivre/profil/spieler/555076,21,RM,France,10000000,400000,AS Monaco B,/as-monaco-b/startseite/verein/9668,Stade Brestois 29,/stade-brest-29/startseite/verein/3911,in,2020,9600000,24.0,1.8,left,FRA-Ligue 1,Brest,FRA,"MF,FW",22.0,1998.0,32.1,54.0,27.0,26.0,23.0,5.0,21.0,54.0,38.9,33.0,30.0,0.0,30.0,30.0,84.0,18.0,0.0,2021
Ibrahima Diallo,/ibrahima-diallo/profil/spieler/413032,21,DM,France,7000000,12000000,Stade Brestois 29,/stade-brest-29/startseite/verein/3911,Southampton FC,/fc-southampton/startseite/verein/180,out,2020,-5000000,24.0,1.79,right,ENG-Premier League,Southampton,FRA,MF,21.0,1999.0,11.3,29.0,16.0,11.0,17.0,1.0,9.0,16.0,56.3,7.0,10.0,1.0,9.0,10.0,39.0,12.0,2.0,2021
Ibrahima Diallo,/ibrahima-diallo/profil/spieler/413032,21,DM,France,7000000,12000000,Stade Brestois 29,/stade-brest-29/startseite/verein/3911,Southampton FC,/fc-southampton/startseite/verein/180,out,2020,-5000000,24.0,1.79,right,FRA-Ligue 1,Brest,FRA,MF,21.0,1999.0,4.9,14.0,9.0,2.0,9.0,3.0,4.0,8.0,50.0,4.0,4.0,0.0,4.0,3.0,17.0,3.0,0.0,2021
Kévin N'Doram,/kevin-ndoram/profil/spieler/342209,24,DM,France,1500000,4500000,AS Monaco,/as-monaco/startseite/verein/162,FC Metz,/fc-metz/startseite/verein/347,in,2020,-3000000,27.0,1.85,right,FRA-Ligue 1,Metz,FRA,MF,24.0,1996.0,3.4,3.0,2.0,0.0,3.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,6.0,9.0,2.0,0.0,2021
Thierry Ambrose,/thierry-ambrose/profil/spieler/265763,23,CF,Guadeloupe,1300000,2000000,Manchester City U23,/manchester-city-u23/startseite/verein/9265,FC Metz,/fc-metz/startseite/verein/347,in,2020,-700000,26.0,1.8,right,FRA-Ligue 1,Metz,GLP,FW,23.0,1997.0,8.4,7.0,4.0,1.0,1.0,5.0,2.0,12.0,16.7,10.0,2.0,0.0,2.0,2.0,9.0,4.0,0.0,2021
Warren Tchimbembé,/warren-tchimbembe/profil/spieler/591914,22,RW,Congo,500000,1000000,ESTAC Troyes,/es-troyes-ac/startseite/verein/1095,FC Metz,/fc-metz/startseite/verein/347,in,2020,-500000,25.0,1.8,right,FRA-Ligue 1,Metz,CGO,"MF,FW",22.0,1998.0,5.5,7.0,4.0,4.0,3.0,0.0,3.0,9.0,33.3,6.0,6.0,1.0,5.0,2.0,9.0,3.0,0.0,2021
Vincent Pajot,/vincent-pajot/profil/spieler/126699,29,DM,France,400000,700000,Angers SCO,/sco-angers/startseite/verein/1420,FC Metz,/fc-metz/startseite/verein/347,in,2020,-300000,32.0,1.8,right,FRA-Ligue 1,Metz,FRA,MF,29.0,1990.0,10.2,35.0,20.0,19.0,11.0,5.0,10.0,18.0,55.6,8.0,9.0,2.0,7.0,42.0,77.0,11.0,0.0,2021
Habib Diallo,/habib-diallo/profil/spieler/344888,25,CF,Senegal,18000000,10000000,FC Metz,/fc-metz/startseite/verein/347,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,out,2020,8000000,28.0,1.86,right,FRA-Ligue 1,Metz,SEN,"FW,MF",25.0,1995.0,1.6,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2021
Habib Diallo,/habib-diallo/profil/spieler/344888,25,CF,Senegal,18000000,10000000,FC Metz,/fc-metz/startseite/verein/347,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,out,2020,8000000,28.0,1.86,right,FRA-Ligue 1,Strasbourg,SEN,FW,25.0,1995.0,25.8,11.0,6.0,3.0,6.0,2.0,7.0,18.0,38.9,11.0,12.0,2.0,10.0,13.0,24.0,12.0,0.0,2021
Roger Assalé,/roger-assale/profil/spieler/263183,26,CF,Cote d'Ivoire,400000,4000000,BSC Young Boys,/bsc-young-boys/startseite/verein/452,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2020,-3600000,29.0,1.67,right,FRA-Ligue 1,Dijon,CIV,"FW,MF",26.0,1993.0,9.2,10.0,8.0,3.0,5.0,2.0,4.0,12.0,33.3,8.0,7.0,3.0,4.0,2.0,12.0,2.0,0.0,2021
Jonathan Panzo,/jonathan-panzo/profil/spieler/392777,19,CB,England,3000000,3400000,AS Monaco B,/as-monaco-b/startseite/verein/9668,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2020,-400000,22.0,1.88,left,FRA-Ligue 1,Dijon,ENG,DF,19.0,2000.0,20.0,17.0,12.0,13.0,4.0,0.0,8.0,11.0,72.7,3.0,27.0,13.0,14.0,59.0,76.0,91.0,2.0,2021
Bersant Celina,/bersant-celina/profil/spieler/229695,24,AM,Kosovo,2500000,3000000,Swansea City,/swansea-city/startseite/verein/2288,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2020,-500000,26.0,1.81,right,FRA-Ligue 1,Dijon,KVX,"MF,FW",23.0,1996.0,25.5,20.0,12.0,8.0,8.0,4.0,7.0,38.0,18.4,31.0,20.0,2.0,18.0,8.0,28.0,10.0,0.0,2021
Moussa Konaté,/moussa-konate/profil/spieler/192774,27,CF,Senegal,900000,2400000,Amiens SC,/amiens-sc/startseite/verein/1416,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2020,-1500000,30.0,1.83,right,FRA-Ligue 1,Dijon,SEN,FW,27.0,1993.0,13.3,5.0,3.0,1.0,2.0,2.0,2.0,11.0,18.2,9.0,4.0,1.0,3.0,5.0,10.0,8.0,0.0,2021
Saturnin Allagbé,/saturnin-allagbe/profil/spieler/274958,26,GK,Benin,300000,2000000,Chamois Niortais FC,/chamois-niortais-fc/startseite/verein/1161,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2020,-1700000,29.0,1.87,right,FRA-Ligue 1,Dijon,BEN,GK,26.0,1993.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2021
