league,season,team,players_used,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,url,nextSeason
GER-Bundesliga,2022,M'Gladbach,27,26.8,34,3060,90,100,34.0,374,86.0,241.0,133,12,173,1.26,52,55,-3,-0.09,52.1,53.4,-1.3,-0.04,/en/squads/32f3ee20/Monchengladbach-Stats,2023
GER-Bundesliga,2022,Mainz 05,27,27.0,34,3060,90,100,34.0,374,81.0,215.0,160,20,143,1.35,54,55,-1,-0.03,47.1,53.6,-6.5,-0.19,/en/squads/a224b06a/Mainz-05-Stats,2023
GER-Bundesliga,2022,RB Leipzig,25,26.3,34,3060,90,100,34.0,374,82.0,214.0,158,20,123,1.94,64,41,23,0.68,62.7,37.2,25.4,0.75,/en/squads/acbb6a5b/RB-Leipzig-Stats,2023
GER-Bundesliga,2022,Schalke 04,35,27.5,34,3060,90,100,34.0,374,81.0,228.0,145,23,158,0.91,35,71,-36,-1.06,39.6,57.1,-17.6,-0.52,/en/squads/c539e393/Schalke-04-Stats,2023
GER-Bundesliga,2022,Stuttgart,30,24.7,34,3060,90,100,34.0,374,82.0,229.0,140,19,163,0.97,45,57,-12,-0.35,47.6,45.2,2.4,0.07,/en/squads/598bc722/Stuttgart-Stats,2023
GER-Bundesliga,2022,Union Berlin,28,27.9,34,3060,90,100,34.0,374,82.0,207.0,165,18,141,1.82,51,38,13,0.38,37.9,42.6,-4.7,-0.14,/en/squads/7a41008f/Union-Berlin-Stats,2023
GER-Bundesliga,2022,Werder Bremen,25,27.4,34,3060,90,100,34.0,374,82.0,222.0,151,18,146,1.06,51,64,-13,-0.38,41.1,52.9,-11.8,-0.35,/en/squads/62add3bf/Werder-Bremen-Stats,2023
GER-Bundesliga,2022,Wolfsburg,28,24.8,34,3060,90,100,34.0,374,81.0,218.0,158,21,148,1.44,57,48,9,0.26,51.3,51.3,0.0,0.0,/en/squads/4eaa11d7/Wolfsburg-Stats,2023
ITA-Serie A,2017,Atalanta,25,25.7,38,3420,90,100,38.0,418,,,108,0,313,1.58,57,39,18,0.47,64.1,36.6,27.5,0.72,/en/squads/922493f3/2017-2018/Atalanta-Stats,2018
ITA-Serie A,2017,Benevento,41,26.0,38,3420,90,100,38.0,418,,,113,0,311,0.55,33,84,-51,-1.34,38.3,73.2,-34.9,-0.92,/en/squads/4fcb34fd/2017-2018/Benevento-Stats,2018
ITA-Serie A,2017,Bologna,30,26.8,38,3420,90,100,38.0,418,,,113,0,331,1.03,40,52,-12,-0.32,36.6,51.4,-14.8,-0.39,/en/squads/1d8099f8/2017-2018/Bologna-Stats,2018
ITA-Serie A,2017,Cagliari,29,27.1,38,3420,90,100,38.0,418,,,114,0,295,1.03,33,61,-28,-0.74,39.7,59.2,-19.5,-0.51,/en/squads/c4260e09/2017-2018/Cagliari-Stats,2018
ITA-Serie A,2017,Chievo,25,30.3,38,3420,90,100,38.0,418,,,109,0,345,1.05,36,59,-23,-0.61,34.1,55.2,-21.2,-0.56,/en/squads/cc919b35/2017-2018/Chievo-Stats,2018
ITA-Serie A,2017,Crotone,29,25.6,38,3420,90,100,38.0,418,,,114,0,318,0.92,40,66,-26,-0.68,34.6,58.6,-24.0,-0.63,/en/squads/3074d7b1/2017-2018/Crotone-Stats,2018
ITA-Serie A,2017,Fiorentina,27,25.0,38,3420,90,100,38.0,418,,,111,0,325,1.5,54,46,8,0.21,54.5,40.8,13.7,0.36,/en/squads/421387cf/2017-2018/Fiorentina-Stats,2018
ITA-Serie A,2017,Genoa,33,27.9,38,3420,90,100,38.0,418,,,113,0,329,1.08,33,43,-10,-0.26,43.5,42.6,0.9,0.02,/en/squads/658bf2de/2017-2018/Genoa-Stats,2018
ITA-Serie A,2017,Hellas Verona,32,25.9,38,3420,90,100,38.0,418,,,113,0,317,0.66,30,78,-48,-1.26,33.0,70.2,-37.1,-0.98,/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats,2018
ITA-Serie A,2017,Inter,22,27.6,38,3420,90,100,38.0,418,,,110,0,283,1.89,66,30,36,0.95,56.7,37.2,19.6,0.52,/en/squads/d609edc0/2017-2018/Internazionale-Stats,2018
ITA-Serie A,2017,Juventus,24,29.2,38,3420,90,100,38.0,418,,,111,0,267,2.5,86,24,62,1.63,55.3,27.4,27.9,0.73,/en/squads/e0652b02/2017-2018/Juventus-Stats,2018
ITA-Serie A,2017,Lazio,24,26.5,38,3420,90,100,38.0,418,,,114,0,313,1.89,89,49,40,1.05,63.7,43.9,19.9,0.52,/en/squads/7213da33/2017-2018/Lazio-Stats,2018
ITA-Serie A,2017,Milan,23,25.0,38,3420,90,100,38.0,418,,,107,0,334,1.68,56,42,14,0.37,51.2,36.9,14.3,0.38,/en/squads/dc56fe14/2017-2018/Milan-Stats,2018
ITA-Serie A,2017,Napoli,23,28.0,38,3420,90,100,38.0,418,,,113,0,308,2.39,77,29,48,1.26,67.1,27.1,40.1,1.05,/en/squads/d48ad4ff/2017-2018/Napoli-Stats,2018
ITA-Serie A,2017,Roma,27,27.4,38,3420,90,100,38.0,418,,,114,0,305,2.03,61,28,33,0.87,63.4,37.2,26.2,0.69,/en/squads/cf74a709/2017-2018/Roma-Stats,2018
ITA-Serie A,2017,SPAL,29,26.7,38,3420,90,100,38.0,418,,,110,0,332,1.0,39,59,-20,-0.53,35.8,57.7,-21.9,-0.58,/en/squads/1d2fe027/2017-2018/SPAL-Stats,2018
ITA-Serie A,2017,Sampdoria,27,27.0,38,3420,90,100,38.0,418,,,110,0,311,1.42,56,60,-4,-0.11,53.5,60.3,-6.8,-0.18,/en/squads/8ff9e3b3/2017-2018/Sampdoria-Stats,2018
ITA-Serie A,2017,Sassuolo,28,27.2,38,3420,90,100,38.0,418,,,113,0,322,1.13,29,59,-30,-0.79,46.3,48.9,-2.6,-0.07,/en/squads/e2befd26/2017-2018/Sassuolo-Stats,2018
ITA-Serie A,2017,Torino,27,28.1,38,3420,90,100,38.0,418,,,106,0,315,1.42,54,46,8,0.21,46.0,47.0,-1.0,-0.03,/en/squads/105360fe/2017-2018/Torino-Stats,2018
ITA-Serie A,2017,Udinese,27,26.5,38,3420,90,100,38.0,418,,,113,0,319,1.05,48,63,-15,-0.39,43.2,49.3,-6.1,-0.16,/en/squads/04eea015/2017-2018/Udinese-Stats,2018
ITA-Serie A,2018,Atalanta,27,26.5,38,3420,90,100,38.0,418,84.0,308.0,109,22,311,1.82,77,46,31,0.82,72.2,41.1,31.1,0.82,/en/squads/922493f3/2018-2019/Atalanta-Stats,2019
ITA-Serie A,2018,Bologna,29,27.0,38,3420,90,100,38.0,418,85.0,301.0,112,19,339,1.16,48,56,-8,-0.21,46.8,49.0,-2.2,-0.06,/en/squads/1d8099f8/2018-2019/Bologna-Stats,2019
ITA-Serie A,2018,Cagliari,30,27.9,38,3420,90,100,38.0,418,84.0,296.0,113,21,310,1.08,36,54,-18,-0.47,42.1,62.1,-20.0,-0.53,/en/squads/c4260e09/2018-2019/Cagliari-Stats,2019
ITA-Serie A,2018,Chievo,36,28.3,38,3420,90,100,38.0,418,83.0,300.0,113,23,327,0.53,25,75,-50,-1.32,36.0,60.3,-24.3,-0.64,/en/squads/cc919b35/2018-2019/Chievo-Stats,2019
ITA-Serie A,2018,Empoli,29,26.4,38,3420,90,100,38.0,418,85.0,311.0,106,21,319,1.0,51,70,-19,-0.5,52.4,63.6,-11.3,-0.3,/en/squads/a3d88bd8/2018-2019/Empoli-Stats,2019
ITA-Serie A,2018,Fiorentina,27,24.1,38,3420,90,100,38.0,418,84.0,306.0,109,23,316,1.08,47,45,2,0.05,54.0,41.0,13.0,0.34,/en/squads/421387cf/2018-2019/Fiorentina-Stats,2019
ITA-Serie A,2018,Frosinone,33,26.4,38,3420,90,100,38.0,418,85.0,306.0,110,20,339,0.66,29,69,-40,-1.05,38.9,62.0,-23.1,-0.61,/en/squads/6a7ad59d/2018-2019/Frosinone-Stats,2019
ITA-Serie A,2018,Genoa,31,26.0,38,3420,90,100,38.0,418,83.0,300.0,112,23,327,1.0,39,57,-18,-0.47,46.9,53.3,-6.4,-0.17,/en/squads/658bf2de/2018-2019/Genoa-Stats,2019
ITA-Serie A,2018,Inter,23,27.7,38,3420,90,100,38.0,418,85.0,303.0,114,20,251,1.82,57,33,24,0.63,63.8,38.3,25.6,0.67,/en/squads/d609edc0/2018-2019/Internazionale-Stats,2019
ITA-Serie A,2018,Juventus,31,28.0,38,3420,90,100,38.0,418,85.0,315.0,102,20,251,2.37,70,30,40,1.05,60.7,35.8,25.0,0.66,/en/squads/e0652b02/2018-2019/Juventus-Stats,2019
ITA-Serie A,2018,Lazio,30,27.9,38,3420,90,100,38.0,418,83.0,301.0,113,24,328,1.55,56,46,10,0.26,60.4,47.0,13.4,0.35,/en/squads/7213da33/2018-2019/Lazio-Stats,2019
ITA-Serie A,2018,Milan,23,24.8,38,3420,90,100,38.0,418,85.0,309.0,104,20,334,1.79,55,36,19,0.5,48.8,41.2,7.6,0.2,/en/squads/dc56fe14/2018-2019/Milan-Stats,2019
ITA-Serie A,2018,Napoli,26,27.0,38,3420,90,100,38.0,418,84.0,300.0,113,23,261,2.08,74,36,38,1.0,61.8,38.2,23.5,0.62,/en/squads/d48ad4ff/2018-2019/Napoli-Stats,2019
ITA-Serie A,2018,Parma,31,29.4,38,3420,90,100,38.0,418,85.0,302.0,113,19,306,1.08,41,61,-20,-0.53,40.2,65.3,-25.1,-0.66,/en/squads/eab4234c/2018-2019/Parma-Stats,2019
ITA-Serie A,2018,Roma,26,27.5,38,3420,90,100,38.0,418,84.0,305.0,111,23,287,1.74,66,48,18,0.47,64.4,52.1,12.2,0.32,/en/squads/cf74a709/2018-2019/Roma-Stats,2019
ITA-Serie A,2018,SPAL,28,27.8,38,3420,90,100,38.0,418,85.0,302.0,113,19,332,1.11,44,56,-12,-0.32,43.9,51.3,-7.3,-0.19,/en/squads/1d2fe027/2018-2019/SPAL-Stats,2019
ITA-Serie A,2018,Sampdoria,24,26.1,38,3420,90,100,38.0,418,84.0,303.0,112,22,314,1.39,60,51,9,0.24,50.5,55.0,-4.5,-0.12,/en/squads/8ff9e3b3/2018-2019/Sampdoria-Stats,2019
ITA-Serie A,2018,Sassuolo,29,25.4,38,3420,90,100,38.0,418,84.0,299.0,113,21,333,1.13,53,60,-7,-0.18,48.5,57.4,-8.9,-0.23,/en/squads/e2befd26/2018-2019/Sassuolo-Stats,2019
ITA-Serie A,2018,Torino,25,27.6,38,3420,90,100,38.0,418,85.0,304.0,112,20,273,1.66,52,37,15,0.39,46.6,47.7,-1.1,-0.03,/en/squads/105360fe/2018-2019/Torino-Stats,2019
ITA-Serie A,2018,Udinese,31,25.3,38,3420,90,100,38.0,418,85.0,311.0,104,19,297,1.13,39,53,-14,-0.37,42.5,59.7,-17.2,-0.45,/en/squads/04eea015/2018-2019/Udinese-Stats,2019
ITA-Serie A,2019,Atalanta,30,27.2,38,3420,90,100,38.0,418,82.0,,134,23,268,2.05,98,48,50,1.32,83.5,41.3,42.2,1.11,/en/squads/922493f3/2019-2020/Atalanta-Stats,2020
