league,season,team,players_used,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,url,nextSeason
GER-Bundesliga,2019,Wolfsburg,26,34.0,598,363,277,247,74,241,589,40.9,348,378,87,291,377,975,649,9,/en/squads/4eaa11d7/2019-2020/Wolfsburg-Stats,2020
GER-Bundesliga,2020,Arminia,26,34.0,552,328,268,229,55,214,536,39.9,322,393,122,271,418,970,739,9,/en/squads/247c4b67/2020-2021/Arminia-Stats,2021
GER-Bundesliga,2020,Augsburg,25,34.0,509,308,251,211,47,201,503,40.0,302,395,116,279,454,963,852,8,/en/squads/0cdc4311/2020-2021/Augsburg-Stats,2021
GER-Bundesliga,2020,Bayern Munich,29,34.0,510,316,174,231,105,224,541,41.4,317,388,75,313,399,909,398,10,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats,2021
GER-Bundesliga,2020,Dortmund,26,34.0,516,318,221,210,85,219,487,45.0,268,379,95,284,413,929,472,12,/en/squads/add600ae/2020-2021/Dortmund-Stats,2021
GER-Bundesliga,2020,Eint Frankfurt,25,34.0,594,352,273,245,76,263,596,44.1,333,371,77,294,428,1022,594,10,/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats,2021
GER-Bundesliga,2020,Freiburg,24,34.0,431,247,188,186,57,168,448,37.5,280,365,118,247,452,883,631,8,/en/squads/a486e511/2020-2021/Freiburg-Stats,2021
GER-Bundesliga,2020,Hertha BSC,32,34.0,485,270,242,201,42,205,493,41.6,288,377,89,288,417,902,687,8,/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats,2021
GER-Bundesliga,2020,Hoffenheim,30,34.0,508,296,229,204,75,229,539,42.5,310,370,90,280,431,939,619,8,/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats,2021
GER-Bundesliga,2020,Köln,28,34.0,586,328,299,234,53,248,546,45.4,298,382,101,281,429,1015,670,8,/en/squads/bc357bf7/2020-2021/Koln-Stats,2021
GER-Bundesliga,2020,Leverkusen,30,34.0,500,282,209,238,53,213,498,42.8,285,368,87,281,322,822,481,10,/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats,2021
GER-Bundesliga,2020,M'Gladbach,23,34.0,503,307,221,221,61,215,531,40.5,316,424,116,308,436,939,616,6,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats,2021
GER-Bundesliga,2020,Mainz 05,31,34.0,593,364,266,239,88,258,574,44.9,316,419,109,310,500,1093,662,6,/en/squads/a224b06a/2020-2021/Mainz-05-Stats,2021
